"TrainNumber";"connectingIDs"
1;"41780-10-Bw"
2;"43240-900-sü"
3;"47212-0-Bw"
4;"47529-215-vk"
5;"47762-900-Bw"
6;"47762-11-Bw"
7;"47768-11-Bw"
8;"50108-20-Ky"
9;"51479-21-si"
10;"52205-10-Kh"
11;"52260-0-ab"
12;"55324-96-ms"
13;"55640-103-za"
14;"60020-0-AH"
15;"60806-7-si"
16;"60814-81-we"
17;"60911-285-wn"
18;"60974-157-ab"
19;"62921-0-Re"
20;"75739-90-Ky"
21;"95431-90-Hü"
22;"42335-298-TS"
23;"47754-301-Ks"
24;"50008-3-br"
25;"50227-80-we"
26;"51034-10-Ky"
27;"51038-21-Ky"
28;"52402-120-uz"
29;"53895-3-bh"
30;"53896-1-bh"
31;"53921-30-bh"
32;"53922-30-bh"
33;"53924-33-bh"
34;"53925-30-bh"
35;"53926-92-bh"
36;"53928-33-bh"
37;"60403-900-ls"
38;"60536-0-wn"
39;"61178-80-AH"
40;"62135-0-ki"
41;"62139-1-ki"
42;"62140-2-ki"
43;"62141-3-ki"
44;"62175-0-ki"
45;"69094-71-si"
46;"69095-72-si"
47;"90966-2-ls"
48;"91289-1-ab"
49;"95445-0-Bm"
50;"49434-2-Rg"
51;"61018-0-Ks"
52;"61019-1-Sz"
53;"83858-2-WT"
54;"40540-910-ja"
55;"41858-0-An"
56;"43232-666-kk"
57;"49772-0-sb"
58;"51397-300-An"
59;"88764-0-Sl"
60;"89156-0-Hg"
61;"95388-0-Pi"
62;"52541-667-kk"
63;"52546-666-kk"
64;"52548-667-kk"
65;"52548-666-kk"
66;"55178-666-kk"
67;"55180-667-kk"
68;"55208-666-kk"
69;"60502-108-ta"
70;"69346-0-ls"
71;"69370-1-DH"
72;"69371-1-DH"
73;"95083-0-Pi"
74;"95248-666-kk"
75;"99622-668-kk"
76;"99630-667-kk"
77;"99631-0-ta"
78;"41450-0-Du"
79;"42509-0-Mz"
80;"47022-0-An"
81;"48604-100-Bj"
82;"49690-0-Hu"
83;"56012-2-Ta"
84;"95081-0-Fi"
85;"47723-214-Sn"
86;"54050-1-Sh"
87;"54224-11-Sö"
88;"54248-1-Sö"
89;"54619-1-An"
90;"54693-0-Mz"
91;"61361-11-Bw"
92;"62401-1-Th"
93;"63202-0-Ku"
94;"63207-0-Ku"
95;"63215-0-Ku"
96;"63221-0-CL"
97;"71270-901-Sö"
98;"95292-0-Ph"
1001;"43101-1-Sh#43101-208-hw"
1002;"43670-1-An#43670-0-Hn#43670-1-Hn"
1003;"45203-11-An#45203-10-Bw#45203-10-Ky"
1004;"47567-11-Hn#47567-10-Hn#47567-215-He#47567-215-hv"
1005;"50098-90-Hü#50098-90-ak#50098-90-si"
1006;"60020-84-Ot#60020-84-rz"
1007;"60081-600-rd#60081-600-te"
1008;"60832-178-hw#60832-188-hw"
1009;"69063-100-ak#69063-380-Hü"
1010;"50007-302-Ky#50007-110-uz#50007-110-AH#50007-411-dw#50007-6-br#50007-7-br"
1011;"50236-11-Bw#50236-10-Mz"
1012;"69162-268-fc#69162-269-fc"
1013;"42144-71-DH#42144-302-br"
1014;"41858-0-ab#41858-84-ko"
1015;"43076-10-An#43076-10-Mz#43076-10-Bw"
1016;"47061-11-Hn#47061-10-Hn#47061-10-An"
1017;"47083-20-Ky#47083-20-Bw#47083-20-An#47083-20-Hn"
32700;"32700-17-hv#32700-17-za#32700-17-hw"
32839;"32839-0-ja#32839-0-ro#32839-0-he#32839-0-rz#32839-1-rz#32839-0-js#32839-0-si#32839-0-hw#32839-100-Hü#32839-101-Hü#32839-10-we"
32840;"32840-100-we#32840-100-Hü#32840-0-si#32840-0-js#32840-0-rz#32840-0-he#32840-0-sü#32840-0-ja"
32846;"32846-200-sc#32846-200-ro#32846-279-hw#32846-100-hw#32846-1-Ky#32846-0-Ky"
40008;"40008-200-Bj#40008-200-Ar#40008-200-ab#40008-238-su#40008-238-za#40008-238-hw#40008-80-Hü#40008-80-we#40008-80-Be"
40009;"40009-90-Be#40009-90-we#40009-90-Hü#40009-20-Ky#40009-299-hw#40009-299-za#40009-299-hv#40009-299-ab#40009-299-Ar#40009-299-Bj#40009-300-Bj"
40016;"40016-309-Bj#40016-309-Ar#40016-309-ab#40016-602-su#40016-602-He#40016-310-Sh#40016-310-Mz#40016-310-Bw"
40025;"40025-10-Bw#40025-10-Mz#40025-10-An#40025-39-He#40025-39-hv#40025-39-ab#40025-39-Ar#40025-39-Bj#40025-49-Bj"
40085;"40085-11-Hn#40085-10-Hn#40085-10-An#40085-215-He#40085-215-hv#40085-215-ab#40085-215-Ar#40085-215-Bj"
40086;"40086-215-Bj#40086-215-Ar#40086-215-ab#40086-215-su#40086-215-vk#40086-10-Hn#40086-11-Hn"
40100;"40100-291-Bj#40100-291-Hc#40100-291-ab#40100-291-hv#40100-10-An#40100-10-Mz"
40101;"40101-10-Mz#40101-10-An#40101-291-He#40101-291-ab#40101-291-Hc#40101-291-Bj"
40104;"40104-290-Bj#40104-290-Ar#40104-290-ab#40104-291-su#40104-291-He#40104-21-An#40104-21-Mz"
40105;"40105-10-Mz#40105-10-An#40105-291-He#40105-291-hv#40105-291-ab#40105-291-Ar#40105-291-Bj"
40106;"40106-291-Bj#40106-291-Hc#40106-291-Ab#40106-291-hv#40106-20-An#40106-20-Mz"
40125;"40125-11-Hn#40125-10-Hn#40125-710-vk#40125-710-ko#40125-710-ab#40125-710-Hc#40125-710-Bj"
40126;"40126-100-Bj#40126-100-Hc#40126-100-Ab#40126-71-hv#40126-71-vk#40126-10-An#40126-10-Hn#40126-11-Hn"
40144;"40144-850-Bj#40144-850-Ar#40144-850-ab#40144-291-su#40144-291-vk#40144-10-An#40144-10-Hn#40144-11-Hn"
40145;"40145-1-Hn#40145-0-Hn#40145-0-An#40145-835-He#40145-2-ko#40145-2-ab#40145-2-Hc#40145-2-Bj"
40184;"40184-215-Bj#40184-215-Ar#40184-215-ab#40184-215-su#40184-215-vk#40184-10-Hn#40184-11-Hn"
40185;"40185-11-Hn#40185-10-Hn#40185-215-vk#40185-215-hv#40185-215-ab#40185-215-Ar#40185-215-Bj"
40200;"40200-157-Bj#40200-157-ab#40200-157-hv#40200-157-vk#40200-158-vk#40200-10-Mz"
40215;"40215-11-Hn#40215-10-Hn#40215-10-An#40215-29-He#40215-103-ab#40215-103-Hc#40215-103-Bj#40215-104-Bj"
40216;"40216-601-Bj#40216-601-Hc#40216-601-ab#40216-610-su#40216-610-vk#40216-310-An#40216-310-Hn#40216-311-Hn"
40221;"40221-11-Mz#40221-12-Mz#40221-157-vk#40221-157-He#40221-157-ab#40221-158-ab#40221-157-Ar#40221-157-Bj"
40234;"40234-104-Bj#40234-104-hj#40234-104-ab#40234-14-hv#40234-10-An#40234-10-Hn#40234-11-Hn"
40235;"40235-1-Hn#40235-0-Hn#40235-0-An#40235-12-He#40235-0-ab#40235-0-Hc#40235-0-Bj"
40240;"40240-169-Bj#40240-169-Hc#40240-169-rd#40240-169-HV#40240-169-vk#40240-30-Hn#40240-31-Mz"
40241;"40241-11-Hn#40241-10-Hn#40241-10-An#40241-0-He#40241-0-su#40241-671-ab#40241-671-Ar#40241-671-Bj"
40244;"40244-29-Bj#40244-29-Hc#40244-29-ab#40244-29-ko#40244-29-vk#40244-29-hv#40244-10-An#40244-10-Hn#40244-11-Hn"
40245;"40245-1-Hn#40245-0-Hn#40245-0-An#40245-0-He#40245-0-su#40245-0-ab#40245-0-Ar#40245-0-Bj#40245-1-Bj"
40247;"40247-11-Hn#40247-10-Hn#40247-10-An#40247-84-He#40247-0-ab#40247-0-Ar#40247-0-Bj"
40252;"40252-100-Bj#40252-100-Hc#40252-100-ab#40252-29-hv#40252-10-Hn#40252-12-Hn#40252-11-Hn"
40260;"40260-100-Bj#40260-101-Bj#40260-102-Bj#40260-249-hv#40260-249-vk#40260-10-An"
40261;"40261-10-Mz#40261-11-Mz#40261-184-He#40261-804-ab#40261-804-Ar#40261-804-Bj"
40276;"40276-0-Bj#40276-0-Hc#40276-0-Ab#40276-29-hv#40276-0-An#40276-1-An#40276-0-Hn#40276-1-Hn"
40290;"40290-0-Bj#40290-0-Hc#40290-0-Ab#40290-29-hv#40290-0-An#40290-0-Hn#40290-1-Hn"
40291;"40291-1-Hn#40291-0-Hn#40291-2-Hn#40291-0-An#40291-1-An#40291-29-He#40291-0-ab#40291-0-Hc#40291-0-Bj"
40421;"40421-200-Bj#40421-201-Bj#40421-200-Hc#40421-200-ab#40421-268-hv#40421-268-js#40421-268-si#40421-1-si#40421-855-DH#40421-0-sc#40421-11-sc"
40424;"40424-300-sc#40424-301-sc#40424-856-ta#40424-857-ta#40424-855-si#40424-855-js#40424-855-He#40424-268-ab#40424-268-Ar#40424-268-Bj"
40541;"40541-30-Mz#40541-29-vk#40541-29-HE#40541-29-js#40541-29-rz#40541-29-ot#40541-29-sü#40541-29-ja"
40550;"40550-29-ja#40550-29-sü#40550-829-Br#40550-829-te#40550-829-ab#40550-29-hv#40550-29-vk#40550-20-An#40550-20-Hn#40550-21-Hn"
40551;"40551-11-Hn#40551-10-Hn#40551-29-he#40551-29-js#40551-29-rz#40551-29-Ot#40551-629-sü#40551-29-ja"
40558;"40558-39-ja#40558-39-sü#40558-49-sü#40558-39-Ot#40558-39-rz#40558-39-JS#40558-39-js#40558-39-He#40558-30-An#40558-30-Bw#40558-31-Bw"
40559;"40559-310-Bw#40559-310-An#40559-602-He#40559-602-hv#40559-602-ab#40559-602-te#40559-602-Br#40559-29-sü#40559-29-ja"
40564;"40564-238-ja#40564-238-sü#40564-238-Ot#40564-238-rz#40564-855-js#40564-855-si#40564-80-Hü#40564-80-we#40564-80-Be"
40565;"40565-80-Be#40565-80-we#40565-80-Hü#40565-58-si#40565-58-js#40565-58-rz#40565-58-tr#40565-58-ro#40565-58-sü#40565-58-ja"
40578;"40578-288-ja#40578-288-sü#40578-288-Ot#40578-288-rz#40578-855-js#40578-855-si#40578-81-Hü#40578-81-ak#40578-81-si#40578-81-Be"
40671;"40671-40-Bw#40671-40-An#40671-411-He#40671-411-js#40671-411-rz#40671-411-Hm#40671-411-Ec"
40951;"40951-0-Fn#40951-0-MR"
