RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FB  R;;FB__O-50-FB-3804/3805;FB__O-50-FB-3804/3805
FB;FB__R-41-FBU-3805/6340;;
FBU;FB-401-FKOA;;
FLIH;FBU-1-FKOA;;
FROF;FBU-1-FKOA;;
F969A;FBU-FKOA;;
F970A;FBU-FKOA;;
F971A;FBU-FKOA;;
F972A;FBU-FKOA;;
FHEB;FBU-1-FKOA;;
FAMO;FBU-1-FKOA;;
FBEF;FBU-301-FMLS;;
FMFH;FBEF-1-FMLS;;
FMLS;FBEF-2-FKRL;;
FMBB;FMLS-2-FKRL;;
F202F;FMLS-FKRL;;
F105E;FMLS-FKRL;;
F204C;FMLS-FKRL;;
FRFH;FMLS-1-FKRL;;
F107D;FMLS-FKRL;;
F206D;FMLS-FKRL;;
FRFHW;FMLS-FKRL;;
F208D;FMLS-FKRL;;
FKRL;FMLS-2-2S/H1-FGTH-D1-Gz;;
F115A;FKRL-FGTH;;
F215A;FKRL-FGTH;;
F216B;FKRL-FGTH;;
F116A;FKRL-FGTH;;
F119A;FKRL-FGTH;;
F218A;FKRL-FGTH;;
FGX;FKRL-1-FGTH;;
F121B;FKRL-FGTH;;
F220A;FKRL-FGTH;;
F123A;FKRL-FGTH;;
F223C;FKRL-FGTH;;
F122C;FKRL-FGTH;;
F222C;FKRL-FGTH;;
FGTH;FKRL-1-FKOA;;
F673A;FGTH-FKOA;;
F672A;FGTH-FKOA;;
F675A;FGTH-FKOA;;
F681A;FGTH-1-FKOA;;
FREH;FGTH-1-FKOA;;
F676A;FGTH-FKOA;;
F679A;FGTH-FKOA;;
F678B;FGTH-FKOA;;
F680A;FGTH-FKOA;;
F699A;FGTH-FKOA;;
F690A;FGTH-FKOA;;
FKOZ;FGTH-1-FKOA;;
FKOA;FGTH-1-FKW-3900;;
FKW;;FKOA-605-503-FKWNB-3900/1733;FKOA-605-503-FKWNB-3900/1733
