RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FFO G;;FFO_U-103-FFO;FFO_U-103-FFO
FFO;FFO_G-3-FFS;;
FFS;FFO-507-FFOR;;
F065C;FFS-FFOR;;
F066C;FFS-FFOR;;
FFOR;FFS-FSP;;
FSP;FFOR-502-FSP_S-3650/4010;;
FSP S;FSP-502-FZEP;;
FZEP;FSP-402-FWF;;
F292D;FZEP-FWF;;
F291C;FZEP-FWF;;
FWF;FZEP-202-FMF;;
FMF;FWF-102-FDG;;
F134B;FMF-FDG;;
F037E;FMF-FDG;;
F130A;FMF-FDG;;
F035F;FMF-FDG;;
F136C;FMF-FDG;;
F033F;FMF-FDG;;
F031H;FMF-FDG;;
FDG;FMF-903-FGE;;
F928B;FDG-FGE;;
F926B;FDG-FGE;;
F927B;FDG-FGE;;
FDOH;FDG-1-FGE;;
F924B;FDG-FGE;;
F925A;FDG-FGE;;
F798A;FDG-FGE;;
F795A;FDG-FGE;;
FLW;FDG-2-FGE;;
F796A;FDG-FGE;;
F793A;FDG-FGE;;
FGE;FDG-4-FBBM;;
FSTR;FGE-FBBM;;
F592A;FGE-FBBM;;
F591A;FGE-FBBM;;
FBBM;FGE-503-513-FGHM;;
F590A;FBBM-FGHM;;
F493B;FBBM-FGHM;;
FGHM;FDG-411-FBL;;
F490A;FGHM-FGRO;;
F491B;FGHM-FGRO;;
FGRO;FGHM-301-FBL;;
F392A;FGRO-FBL;;
F291B;FGRO-FBL;;
FBL;FGRO-203-FLP;;
F298C;FBL-FLP;;
F197A;FBL-FLP;;
FBST;FBL-2-FLP;;
F296C;FBL-FLP;;
F199B;FBL-FLP;;
F195A;FBL-FLP;;
FBUP;FBL-2-FLP;;
F294B;FBL-FLP;;
F292C;FBL-FLP;;
F193A;FBL-FLP;;
F290A;FBL-FLP;;
F191B;FBL-FLP;;
FLP;FBL-103-RMW_G;;
F004E;FLP-RMW_G;;
YFRML;FLP-RMW;;
RQMW;FLP-RMW;;
R  3M;FLP-RMW;;
R  2M;FLP-RMW;;
R  1M;FLP-RMW;;
RMW G;FLP-S23/4-RRE;;
RMW;FLP-S23/4-RRE;;
RMKL;RMW-P 2-RRE;;
RRE;RMW-RMR;;
RMR K;;RRE-RMR D;RRE-RMR D
