RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FFU;FFU_N-4-FFU_B-1733;;
FFU B;FFU-FNF_N-1733/3600;;
F425A;FFU_S-FNF_N;;
F426A;FFU_S-FNF_N;;
F687B;FFU_B-FNF_N;;
F684A;FFU_B-FNF_N;;
F685A;FFU_B-FNF_N;;
F682B;FFU_B-FNF_N;;
F683A;FFU_B-FNF_N;;
FNF N;FFU-642-FNF;;
FNF;FNF_N-602-FNFS;;
FNFS;FNF-FFD;;
F692A;FNFS-FFD;;
F693B;FNFS-FFD;;
FFD;FNFS-2-FSUEZ;;
F087A;FFD-FSUEZ;;
F086A;FFD-FSUEZ;;
F105D;FFD-FSUEZ;;
F202E;FKA-FSUEZ;;
F103F;FFD-FSUEZ;;
FSUEZ;FFD-FSUE;;
FSUE;FSUEZ-204-FSA;;
F225A;FSUE-FSA;;
F224A;FSUE-FSA;;
F223B;FSUE-FSA;;
F222B;FSUE-FSA;;
FSA;FSUE-103-FBSS;;
F175A;FSA-FBSS;;
F176A;FSA-FBSS;;
F174A;FSA-FBSS;;
F173A;FSA-FBSS;;
F172A;FSA-FBSS;;
FBSS;FSA-801-FWAE;;
F787A;FBSS-FWAE;;
F786A;FBSS-FWAE;;
F785A;FBSS-FWAE;;
F784A;FBSS-FWAE;;
F783A;FBSS-FWAE;;
F782A;FBSS-FWAE;;
FWAE;FBSS-701-FWIR;;
F775A;FWAE-FWIR;;
F774A;FWAE-FWIR;;
F773A;FWAE-FWIR;;
F772A;FWAE-FWIR;;
FWIR;FWAE-602-FGEL;;
F597A;FWIR-FGEL;;
F595A;FWIR-FGEL;;
F594A;FWIR-FGEL;;
FHAI;FWIR-FGEL;;
F593B;FWIR-FGEL;;
F592B;FWIR-FGEL;;
F596A;FWIR-FGEL;;
FGEL;FWIR-502-FHME;;
FHME;FGEL-303-FSLB;;
F544A;FHME-FSLB;;
F543A;FHME-FSLB;;
F542A;FHME-FSLB;;
F541A;FHME-FSLB;;
FNMI;FHME-FSLB;;
F254B;FHME-FSLB;;
F253A;FHME-FSLB;;
F252A;FHME-FSLB;;
F251A;FHME-FSLB;;
FSLB;FHME-201-FWFG;;
F248A;FSLB-FWFG;;
F247A;FSLB-FWFG;;
F287A;FSLB-FWFG;;
F246A;FSLB-FWFG;;
F245A;FSLB-FWFG;;
FROD;FSLB-1-FWFG;;
F244A;FSLB-FWFG;;
F243A;FSLB-FWFG;;
F242A;FSLB-FWFG;;
F241A;FSLB-FWFG;;
FWFG;FSLB-604-FH_N-3600;;
FH  N;FWFG-6-FHW;;
FHW;FH_N-1-FHD;;
F462B;FHW-FHD;;
F463A;FHW-FHD;;
F473B;FHW-FHD;;
F472B;FHW-FHD;;
F483B;FHW-FHD;;
F482B;FHW-FHD;;
FHWB;FHW-1-FHD;;
F492B;FHW-FHD;;
FHD;FHW-802-FFMK;;
F735A;FHD-FFMK;;
FBMR;FHD-1-FFMK;;
F732B;FHD-FFMK;;
FFMK;FFO_V-703-FFO-Hp1;;
FFO V;FFMK-403-303-FFO_U;;
FFO U;FFO_V-303-FFO_G;;
FFO G;;FFO_U-103-FFO;FFO_U-103-FFO
