RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FMB M;;FMB_W-510-FMB O;FMB_W-510-FMB O
FMB O;FMB_W-510-648-FNU;;
FMB A;FMB_A-FNU;;
F813A;FMB_A-FNU;;
F814A;FMB_A-FNU;;
F815A;FMB_A-FNU;;
F816A;FMB_A-FNU;;
F817A;FMB_A-FNU;;
F818A;FMB_A-FNU;;
FNU;FMB-2-FGER;;
F821A;FNU-FGER;;
F822A;FNU-FGER;;
FGER;FNU-1-FGERO;;
FGERO;FGER-11-FD;;
FEIM;FGERO-FD;;
FKGE;FEIM-1-FD;;
F027A;FGER-FWI;;
F028A;FGER-FWI;;
F029A;FGER-FWI;;
F030A;FGER-FWI;;
FWI;FEIM-FD;;
FSTN;FWI-FBSN;;
FBSN;FSTN-FDN;;
FDN;FBSN-705-FDK;;
FDK;;FDN-5-FMES-3540/3557;FDN-5-FMES-3540/3557
