RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FDK;;FMES-6-FDN-3540;FMES-6-FDN-3540
FDN;FDK-706-FBSN;;
FBSN;FDN-FSTN;;
FSTN;FBSN-FWI;;
FWI;FD-FEIM;;
F030A;FWI-FGER;;
F029A;FWI-FGER;;
F028A;FWI-FGER;;
F027A;FWI-FGER;;
FKGE;FD-2-FEIM;;
FEIM;FD-FGERO;;
FGERO;FD-12-FGER;;
FGER;FGERO-2-FNU;;
F822A;FGER-FNU;;
F821A;FGER-FNU;;
FNU;FGER-1-FMB;;
F818A;FNU-FMB_A;;
F817A;FNU-FMB_A;;
F816A;FNU-FMB_A;;
F815A;FNU-FMB_A;;
F814A;FNU-FMB_A;;
F813A;FNU-FMB_A;;
FMB A;FNU-FMB_O-3525-2;;
FMB O;FMB_A-641-FMB_M-3525-2;;
FMB M;FMB_O-81-FMB W;;
FMB W;;FMB_O-076-FMB_P-3525-2;FMB_O-076-FMB_P-3525-2
