RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FFO G;;FFO-104-FFO_U;FFO-104-FFO_U
FFO U;FFO_G-304-FFO_V;;
FFO V;FFO_U-404-FFMK;;
FFMK;FFO_V-702-FHD-Hp1;;
F732B;FFMK-FHD;;
FBMR;FFMK-2-FHD;;
F735A;FFMK-FHD;;
FHD;FFMK-801-811S/H2-FHW;;
F492B;FHD-FHW;;
FHWB;FHD-2-FHW;;
F482B;FHD-FHW;;
F483B;FHD-FHW;;
F472B;FHD-FHW;;
F473B;FHD-FHW;;
F463A;FHD-FHW;;
F462B;FHD-FHW;;
FHW;FHD-2-FH_S;;
FH  S;FHW-103-FGK;;
FGAU;FH__S-1-FGK;;
FC  A;FH_S-FGK;;
FGK;FH_S-702-FKLM-Gz;;
FQKL;FGK-FKLM;;
FKLM;FGK-802-FDET;;
F874A;FKLM-FDET;;
F873A;FKLM-FDET;;
FDET;FKLM-1-FKO;;
FRS;FDET-FKO;;
F944B;FDET-FKO;;
FKO;FDET-1-FSTE;;
FSTE;FKO-973-NAH;;
NAH A;FKO-503-NAH;;
NAH;;FKO-6-NHOE;FKO-6-NHOE
