RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FFO G;;FFO_U-103-FFO;FFO_U-103-FFO
FFO;FFO_G-3-FFS;;
FFS;FFO-507-FFOR;;
F065C;FFS-FFOR;;
F066C;FFS-FFOR;;
FFOR;FFS-FNI;;
FNI;FFOR-607-653-FMLA;;
FMLA;FNI-FFTGF;;
F842A;FMLA-FFTGF;;
F391A;FMLA-FFTGF;;
FFTGF;FMLA-FHOE;;
F891B;FFTGF-FHOE;;
FHOE;FMLA-009-FHOEG-229/230;;
FHOEG;FHOE-229-FHOEA;;
FHOEA;FHOEG-FHAS;;
FSINO;FHOEA-FHAS;;
F166B;FHOEA-FHAS;;
F165B;FHOEA-FHAS;;
FSIN;FHOEA-FHAS;;
F167B;FHOEA-FHAS;;
FHAS;FHOE-502-FFH;;
FED;FHAS-2-FFH;;
FFH;FHAS-2-FHM;;
F732A;FFH-FHM;;
FTM;FTM-732-FHM;;
F731A;FFH-FHM;;
FHM;FFH-1-FKOS;;
FKOS;FHM-FKBWO;;
F014B;FKOS-FKBW;;
F013B;FKOS-FKBW;;
F012C;FKOS-FKBW;;
F011C;FKOS-FKBW;;
FKBWO;FKOS-FKBW;;
FQKB;FKBWO-2-FKBW;;
F753B;FKBWO-FKBW;;
FKBW;FKBWO-2-FMM;;
FMM;;FKBWO-604-FBUD;FKBWO-604-FBUD
