RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HSR;;HSR O(1750-2)-305-HSR W(1750-2);HSR O(1750-2)-305-HSR W(1750-2)
HSR W;HSR O(1750-2)-005-HGUE(1750-2);;
H70SD;HSR W-HWUN;;
H71WS;HS  W-HWUN;;
H68SD;HS  W-HWUN;;
H69WS;HS  W-HWUN;;
HDED;HS  W-HWUN;;
HGUE;HS  W-HWUN;;
H64GW;HSR W-HWUN;;
H61WS;HSR W-HWUN;;
HWUN;HGUE(1750)-10-HHAS;;
H01WH;HWUN-HM;;
H03WH;HWUN-HM;;
H103H;HWUN-HM;;
H02HW;HWUN-HM;;
H102H;HWUN-HM;;
H05WH;HWUN-HM;;
H04HW;HWUN-HM;;
HHAS;HWUN-3-HM;;
H07HR;HWUN-HM;;
HRER;HWUN-103-HM;;
H11RL;HWUN-HM;;
H12LR;HWUN-HM;;
H13RL;HWUN-HM;;
H14LR;HWUN-HM;;
HLH;HWUN-1-HM;;
H21LS;HWUN-HM;;
H22SL;HWUN-HM;;
H23LS;HWUN-HM;;
H24SL;HWUN-HM;;
HSHG;HWUN-2-HM;;
H31SK;HWUN-HM;;
H32KS;HWUN-HM;;
H33SK;HWUN-HM;;
H34KS;HWUN-HM;;
HKHN;HWUN-2-HM;;
H41KB;HWUN-HM;;
H42BK;HWUN-HM;;
H43KB;HWUN-HM;;
H44BK;HWUN-HM;;
H45KB;HWUN-HM;;
H46BK;HWUN-HM;;
HBKB;HWUN-3-HM;;
H51BM;HWUN-HM;;
H52MB;HWUN-HM;;
H53BM;HWUN-HM;;
H54MB;HWUN-HM;;
H154M;HWUN-HM;;
H55BM;HWUN-HM;;
HQM;HBKB-HM;;
H56MB;HWUN-HM;;
HM  G;HWUN(1700-1)-111-HM(1700);;
HM;HM  G(1700-1)-11-HL(1700);;
H61MP;HM-HL;;
H62PM;HM-HL;;
H63MP;HM-HL;;
H64PM;HM-HL;;
H65MP;HM-HL;;
H166P;HM-HL;;
HPTH;HM-HL;;
H66OP;HM-HL;;
H165O;HM-HL;;
H67PB;HM-HL;;
H80BP;HM-HL;;
H81ML;HM-HL;;
H181P;HM-HL;;
H182O;HM-HL;;
H82BP;HM-HL;;
H83PB;HM-HL;;
H84BP;HM-HL;;
HOYGA;HM-HL(7656);;
HOYG;HPTH(7656)-4-HL(2990);;
HOY;HM(2990)-4-HL(2990);;
HGOF;HM-HL;;
HL;HM(2990)-003-HL G(2993-0);;
HL  G;HL-151-HO;;
HKLG;HL-HO;;
HBDE;HL-24-HO;;
HBDS;HL-HO;;
H99BB;HL-HO;;
H100B;HL-HO;;
HQBU;HL-HO;;
HBUE;HL-2-HO;;
HMEL;HL-1-HO;;
HEHD;HL-HO;;
H12WM;HL-HO;;
HWTH;HL-HO;;
H11WW;HL-HO;;
HWIS;HL-1-HO;;
HLRI;HL-02-HOR O;;
HOR O;;HLRI(1620-0)-158-HOR S(1620-0);HLRI(1620-0)-158-HOR S(1620-0)
