RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HOR O;;HOR S(1620-0)-158-HLRI(1620-0);HOR S(1620-0)-158-HLRI(1620-0)
HLRI;HOR O-01-HL;;
HWIS;HO-2-HL;;
H11WW;HO-HL;;
HWTH;HO-HL;;
H12WM;HO-HL;;
HEHD;HO-HL;;
HMEL;HO-2-HL;;
HBUE;HO-1-HL;;
HQBU;HO-HL;;
H100B;HO-HL;;
H99BB;HO-HL;;
HBDS;HO-HL;;
HBDE;HO-22-HL H2;;
HKLG;HO-HL;;
HL  G;HO-151-HL;;
HL;HL G(2993-0)-003-HM(2990);;
HGOF;HL-HM;;
HOY;HL(2990)-3-HM(2990);;
HOYG;HL-3-HM;;
H184V;HOYG-HVBK;;
H183O;HOYK-HVBK;;
HVBK;HL-HM;;
H74M;HL-HM;;
H73L;HL-HM;;
H72M;HL-HM;;
H172M;HL-HM;;
H71L;HL-HM;;
H171L;HL-HM;;
HM;HL(2990)-2-HM  G(2990-2);;
HM  G;HM(2990-2)-102-HWUN;;
H56MB;HM-HWUN;;
HQM;HM-HBKB;;
H55BM;HM-HWUN;;
H154M;HM-HWUN;;
H54MB;HM-HWUN;;
H53BM;HM-HWUN;;
H52MB;HM-HWUN;;
H51BM;HM-HWUN;;
HBKB;HM-2-HWUN;;
H46BK;HM-HWUN;;
H45KB;HM-HWUN;;
H44BK;HM-HWUN;;
H43KB;HM-HWUN;;
H42BK;HM-HWUN;;
H41KB;HM-HWUN;;
HKHN;HM-1-HWUN;;
H34KS;HM-HWUN;;
H33SK;HM-HWUN;;
H32KS;HM-HWUN;;
H31SK;HM-HWUN;;
HSHG;HM-3-HWUN;;
H24SL;HM-HWUN;;
H23LS;HM-HWUN;;
H22SL;HM-HWUN;;
H21LS;HM-HWUN;;
HLH;HM-2-HWUN;;
H14LR;HM-HWUN;;
H13RL;HM-HWUN;;
H12LR;HM-HWUN;;
H11RL;HM-HWUN;;
HRER;HM-102-HWUN;;
H07HR;HM-HWUN;;
HHAS;HM-2-HWUN;;
H04HW;HM-HWUN;;
H05WH;HM-HWUN;;
H102H;HM-HWUN;;
H02HW;HM-HWUN;;
H103H;HM-HWUN;;
H03WH;HM-HWUN;;
H01WH;HM-HWUN;;
HWUN;HHAS-11-HGUE(1750);;
H61WS;HWUN-HSR W;;
H64GW;HWUN-HSR W;;
HGUE;HWUN-HS  W;;
HDED;HGUE-HS  W;;
H69WS;HWUN-HS  W;;
H68SD;HWUN-HS  W;;
H71WS;HWUN-HS  W;;
H70SD;HWUN-HSR W;;
HSR W;HGUE(1750-1)-006-HSR(1750-1);;
HSR;;HSR W(1750-1)-006-HSR O(1750-1);HSR W(1750-1)-006-HSR O(1750-1)
