RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HOR O;;HLRI(1620-0)-158-HOR S(1620-0);HLRI(1620-0)-158-HOR S(1620-0)
HOR S;HOR O(1620-0)-290-HO O(1620-0);;
HORP;HOR S(1620)-HHRN(2950);;
HHRN;HORP(2950)-04-HHSB(2200-2);;
H24HH;HHRN-HHSB;;
H23HH;HHRN-HHSB;;
H22HH;HHRN-HHSB;;
H21HH;HHRN-HHSB;;
HHSB;HHRN-1-HNAH;;
H02NH;HHSB-HNAH;;
H01NH;HHSB-HNAH;;
HNAH;HHSB-ELEN;;
HQNA;HNAH-ELEN;;
H926N;HNAH-ELEN;;
H925N;HNAH-ELEN;;
YEHLH;HO-ELEN;;
E924H;HO-ELEN;;
E923L;HO-ELEN;;
E 922;HO-ELEN;;
E 921;HO-ELEN;;
ELEN;HO-1-EMST;;
E904L;ELEN-EMST;;
E903L;ELEN-EMST;;
E902L;ELEN-EMST;;
E901L;ELEN-EMST;;
ERIG;ELEN-202-EMST;;
EKV;ELEN-302-EMST;;
E822B;ELEN-EMST;;
E 821;ELEN-EMST;;
EBRO;ELEN-402-EMST;;
E 802;ELEN-EMST;;
E 801;ELEN-EMST;;
E545L;ELEN-EMST;;
EWBV;ELEN-EMST;;
E532M;ELEN-EMST;;
EEMS;ELEN-952-EMST;;
E 937;ELEN-EMST;;
E938E;ELEN-EMST;;
E 935;ELEN-EMST;;
ESDM;ELEN(2200)-921-EMST(2200);;
E 906;ELEN-EMST;;
E 907;ELEN-EMST;;
E 904;ELEN-EMST;;
E 905;ELEN-EMST;;
EMSTP;ELEN(2200)-03-EMSTG(2931);;
EMSTG;EMSTP(2931)-253-ELEC(2931);;
ELEC;EMSTG(2931)-EFMK(2931);;
EHIT;ELEC-552-EFMK;;
E642;ELEC-EFMK;;
E641;ELEC-EFMK;;
ERIK;ELEC-602-EFMK;;
E621A;ELEC-EFMK;;
E622A;ELEC-EFMK;;
EDRS;ELEC-EFMK;;
EMES;ELEC-1-EFMK;;
E22A;ELEC-EFMK;;
E21A;ELEC-EFMK;;
EBCK;ELEC-1-EFMK;;
EFMK;ELEC-EHM;;
EHM;EFMK(2931)-713-EHRBN(2250) Ri Gleis 444;;
EHRBN;EHM-860-EHRBR(2911);;
EHRBR;;EHRBN-590-EHRBZ;EHRBN-590-EHRBZ
