RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HSR;;HSR O(1750-2)-305-HSR W(1750-2);HSR O(1750-2)-305-HSR W(1750-2)
HSR W;HSR O(1750-2)-005-HGUE(1750-2);;
H70SD;HSR W-HWUN;;
H71WS;HS  W-HWUN;;
H68SD;HS  W-HWUN;;
H69WS;HS  W-HWUN;;
HDED;HS  W-HWUN;;
HGUE;HS  W-HWUN;;
H64GW;HSR W-HWUN;;
H61WS;HSR W-HWUN;;
HWUN;HGUE(1750)-10-HHAS;;
H01WH;HWUN-HM;;
H03WH;HWUN-HM;;
H103H;HWUN-HM;;
H02HW;HWUN-HM;;
H102H;HWUN-HM;;
H05WH;HWUN-HM;;
H04HW;HWUN-HM;;
HHAS;HWUN-3-HM;;
H07HR;HWUN-HM;;
HRER;HWUN-103-HM;;
H11RL;HWUN-HM;;
H12LR;HWUN-HM;;
H13RL;HWUN-HM;;
H14LR;HWUN-HM;;
HLH;HWUN-1-HM;;
H21LS;HWUN-HM;;
H22SL;HWUN-HM;;
H23LS;HWUN-HM;;
H24SL;HWUN-HM;;
HSHG;HWUN-2-HM;;
H31SK;HWUN-HM;;
H32KS;HWUN-HM;;
H33SK;HWUN-HM;;
H34KS;HWUN-HM;;
HKHN;HWUN-2-HM;;
H41KB;HWUN-HM;;
H42BK;HWUN-HM;;
H43KB;HWUN-HM;;
H44BK;HWUN-HM;;
H45KB;HWUN-HM;;
H46BK;HWUN-HM;;
HBKB;HWUN-3-HM;;
H51BM;HWUN-HM;;
H52MB;HWUN-HM;;
H53BM;HWUN-HM;;
H54MB;HWUN-HM;;
H154M;HWUN-HM;;
H55BM;HWUN-HM;;
HQM;HBKB-HM;;
H56MB;HWUN-HM;;
HM  G;HWUN(1700-1)-111-HM(1700);;
HM;HM  G(1700-1)-11-HL(2990);;
H171L;HM-HL;;
H71L;HM-HL;;
H172M;HM-HL;;
H72M;HM-HL;;
H73L;HM-HL;;
H74M;HM-HL;;
HVBK;HM-HL;;
H183O;HVBK-HOYG;;
H184V;HVBK-HOYG;;
HOYG;HM-4-HL;;
HOY;HM(2990)-4-HL(2990);;
HGOF;HM-HL;;
HL;HM(2990)-007-HL G(2990);;
HL  G;HL-201-EHFD(2990);;
H767L;HL G-YHELF;;
YHELF;HL-EHFD;;
E 762;HL-EHFD;;
E 769;HL-EHFD;;
E764H;HL-EHFD;;
EHFD;HL(2990)-09-EBIL(2990);;
E 771;EHFD-EBIL;;
E 772;EHFD-EBIL;;
E 773;EHFD-EBIL;;
EBRA;EHFD-904-EBIL;;
E 777;EHFD-EBIL;;
E 778;EHFD-EBIL;;
EBILG;EHFD(2990)-157-EHM(2990);;
EBILP;EHFD(2990)-107-EHM(2990);;
EBWEG;EBIL-05-EEHM;;
EBWE;EBIL(2990)-5-EHM(2990);;
E 791;EBIL-EHM;;
E 792;EBIL-EHM;;
EIAV;EBIL-EHM(2990);;
EIAW;EBIL-EHM;;
E 795;EBIL-EHM;;
E 796;EBIL-EHM;;
EGLO;EBIL(2990)-05-EHM(2990);;
E801A;EBIL-EHM;;
E802C;EBIL-EHM;;
E803C;EBIL-EHM;;
E 804;EBIL-EHM;;
ERDW;EBIL(2990)-6-EHM(2990);;
E 811;EBIL-EHM;;
E 812;EBIL-EHM;;
E 813;EBIL-EHM;;
E 814;EBIL-EHM;;
EOEL;EBIL(2990)-702-EHM(2990);;
E821A;EBIL-EHM;;
E822;EBIL-EHM;;
E 823;EBIL-EHM;;
E 824;EBIL-EHM;;
ENBMP;EBIL(2990)-04-EHM(2990);;
ENBMG;EBIL(2990)-104-EHM(2990);;
E833A;EBIL-EHM;;
E834A;ENBMP-EHM;;
EAHLG;EBIL-5-EHM;;
EAHLH;EBIL-EHM;;
E 843;EBIL-EHM;;
E 842;EBIL-EHM;;
E 845;EBIL-EHM;;
E 844;EBIL-EHM;;
EHE P;EBIL-EHM(2990);;
EHE;EHE P-287-EHRBN;;
EHRBN;EHE-140-260-EHRBE(2913);;
EHRBE;;EHRBN(2913)-250-EHRBO(2913);EHRBN(2913)-250-EHRBO(2913)
