RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
EHRBN;;EHRBR(2911)-EHM(2250);EHRBR(2911)-EHM(2250)
EHM;EHRBN-713-EHE(1700);;
EHE;EHM-285-EHE P;;
EHE P;EHM-EBIL(2990);;
E 844;EHM-EBIL;;
E 845;EHM-EBIL;;
E 842;EHM-EBIL;;
E 843;EHM-EBIL;;
EAHLH;EHM-EBIL;;
EAHLG;EHM-6-EBIL;;
E834A;EHM-EBIL;;
E833A;EHM-EBIL;;
ENBMG;EHM(2990)-103-EBIL(2990);;
ENBMP;EHM(2990)-3-EBIL(2990);;
E 824;EHM-EBIL;;
E 823;EHM-EBIL;;
E822;EHM-EBIL;;
E821A;EHM-EBIL;;
EOEL;EHM(2990)-701-EBIL(2990);;
E 814;EHM-EBIL;;
E 813;EHM-EBIL;;
E 812;EHM-EBIL;;
E 811;EHM-EBIL;;
ERDW;EHM(2990)-5-EBIL(2990);;
E 804;EHM-EBIL;;
E803C;EHM-EBIL;;
E802C;EHM-EBIL;;
E801A;EHM-EBIL;;
EGLO;EHM(2990)-06-EBIL(2990);;
E 796;EHM-EBIL;;
E 795;EHM-EBIL;;
EIAW;EHM-EBIL;;
EIAV;EHM-EBIL(2990);;
E 792;EHM-EBIL;;
E 791;EHM-EBIL;;
EBWE;X1;;
EBWEG;EHM-EBIL;;
EBILP;EHM(2990)-102-EHFD(1700);;
E 480;EBIL-EHFD;;
E 479;EBIL-EHFD;;
E 478;EBIL-EHFD;;
E 477;EBIL-EHFD;;
E 476;EBIL-EHFD;;
E 475;EBIL-EHFD;;
EBRAH;EBIL-EHFD;;
E 474;EBIL-EHFD;;
E 473;EBIL-EHFD;;
E 472;EBIL-EHFD;;
E 471;EBIL-EHFD;;
EHFD;EBIL(1700)-04-HL(2990);;
E764H;EHFD-HL;;
E 769;EHFD-HL;;
E 762;EHFD-HL;;
YHELF;EHFD-HL;;
H767L;YHELF-HL G;;
HL  G;EHFD(2990)-202-HL;;
HL;HL G(2990)-008-HM(2990);;
HGOF;HL-HM;;
HOY;HL(2990)-3-HM(2990);;
HOYG;HL-3-HM;;
H184V;HOYG-HVBK;;
H183O;HOYK-HVBK;;
HVBK;HL-HM;;
H74M;HL-HM;;
H73L;HL-HM;;
H72M;HL-HM;;
H172M;HL-HM;;
H71L;HL-HM;;
H171L;HL-HM;;
HM;HL(2990)-2-HM  G(2990-2);;
HM  G;HM(2990-2)-102-HWUN;;
H56MB;HM-HWUN;;
HQM;HM-HBKB;;
H55BM;HM-HWUN;;
H154M;HM-HWUN;;
H54MB;HM-HWUN;;
H53BM;HM-HWUN;;
H52MB;HM-HWUN;;
H51BM;HM-HWUN;;
HBKB;HM-2-HWUN;;
H46BK;HM-HWUN;;
H45KB;HM-HWUN;;
H44BK;HM-HWUN;;
H43KB;HM-HWUN;;
H42BK;HM-HWUN;;
H41KB;HM-HWUN;;
HKHN;HM-1-HWUN;;
H34KS;HM-HWUN;;
H33SK;HM-HWUN;;
H32KS;HM-HWUN;;
H31SK;HM-HWUN;;
HSHG;HM-3-HWUN;;
H24SL;HM-HWUN;;
H23LS;HM-HWUN;;
H22SL;HM-HWUN;;
H21LS;HM-HWUN;;
HLH;HM-2-HWUN;;
H14LR;HM-HWUN;;
H13RL;HM-HWUN;;
H12LR;HM-HWUN;;
H11RL;HM-HWUN;;
HRER;HM-102-HWUN;;
H07HR;HM-HWUN;;
HHAS;HM-2-HWUN;;
H04HW;HM-HWUN;;
H05WH;HM-HWUN;;
H102H;HM-HWUN;;
H02HW;HM-HWUN;;
H103H;HM-HWUN;;
H03WH;HM-HWUN;;
H01WH;HM-HWUN;;
HWUN;HHAS-11-HGUE(1750);;
H61WS;HWUN-HSR W;;
H64GW;HWUN-HSR W;;
HGUE;HWUN-HS  W;;
HDED;HGUE-HS  W;;
H69WS;HWUN-HS  W;;
H68SD;HWUN-HS  W;;
H71WS;HWUN-HS  W;;
H70SD;HWUN-HSR W;;
HSR W;HGUE(1750-1)-006-HSR(1750-1);;
HSR;;HSR W(1750-1)-006-HSR O(1750-1);HSR W(1750-1)-006-HSR O(1750-1)
