RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
AXFW;XDPA-AFR;;
A096P;XDPA-AFR;;
A099F;XDPA-AFR;;
AFR;XDPA-AFW;;
AFW;AXFW-207/205-ASW;;
ATP;AFW-AJ;;
A090F;AFW-AJ;;
A091N;AFW-AJ;;
AJ;AF-701-AN;;
A088F;AJ-ASW;;
A089N;AJ-ASW;;
ASY;AJ-ASW;;
ASW;AF-802-AOS;;
A086S;ASW-AOS;;
A087N;ASW-AOS;;
AOS;AF-502-AN;;
A85OW;AOS-AR;;
A084F;AOS-AR;;
A083N;AOS-AR;;
AR;AF-001/072/080-AN;;
AON;AR-080/082/101-AN H101;;
ABM N;AR-AN;;
ABM S;AR-AN;;
A078F;AR-AN;;
A077N;AR-AN;;
ANF;AF-502-AN;;
A075N;AR-AN;;
A076F;AR-AN;;
AN  G;AF-15-AN;;
AN;AN G-15/5-AEL;;
A084K;AN-ABST;;
A083A;AN-ABST;;
A082K;AN-ABST;;
A081A;AN-ABST;;
ABRS;AN-202-AEL;;
A072K;ABRS-AWST;;
A071A;ABRS-AWST;;
AWST;AN-2-AEL;;
A062A;AWST-ADH;;
A061W;AWST-ADH;;
ADH;AN-1-AEL;;
A052K;ADH-AEL;;
A051A;ADH-AEL;;
AHOT;AN-AEL;;
AEL N;AN-112-AEL;;
AEL;AEL N-102-AH;;
A046K;AEL-ATM;;
A049A;AEL-ATM;;
A44EL;AEL-ATM;;
A047A;AEL-ATM;;
A042T;AEL-ATM;;
A045A;AEL-ATM;;
A043A;AEL-ATM;;
ATM;AEL-1-AP;;
A040K;ATM-AP;;
A039A;ATM-AP;;
A038K;ATM-AP;;
APD;ATM-AP;;
A036K;ATM-AP;;
A037A;ATM-AP;;
A035A;ATM-AP;;
AP;ATM-5-AA;;
A034K;AP-AE N;;
A033A;AP-AE N;;
A032K;AP-AE N;;
A031A;AP-AE N;;
AQE;AP-AE;;
AE  N;AEL-1/273-AE  O;;
AE  O;AE  N-338/59-AE  F;;
AE  F;AE  O-59-ALOF;;
ALOF;AE  F-401-AHOR;;
ABAG;AE F-301-AHOR;;
ABGL;AE F-AHOR;;
AHOR;AE-AHROO;;
A293H;AHOR-AHROO;;
A294H;AHOR-AHROO;;
AHROO;AHOR-112-AVL;;
A517B;AHROO-AOHA;;
AOHA;AHROO-AVL;;
AVL;AOHA(1280)-AHAR(1280) Gz;;
A510A;AVL-AWLBA(1280-2) Gz;;
A511B;AVL-AWLBA(1280-2);;
AWLBA;AVL(1280)-AHAR(1280);;
A506A;AWLBA-AHAR(1280-2);;
AWLBS;AWLBA-AHAR;;
A504A;AWLBA-AHAR(1280-2);;
A505B;AWLBA-AHAR(1280-2);;
A502A;AWLBA-AHAR(1280-2);;
A503B;AWLBA-AHAR(1280-2);;
AHAR;AVL(1280)-030-AMD(1280);;
A194A;AHAR-AMD(1280-2);;
A195B;AHAR-AMD(1280-2);;
A193H;AHAR-AMD(1280-2);;
A192A;AHAR-AMD(1280-2);;
AQM G;AHAR-AM;;
A191B;AHAR-AMD(1280-2);;
AMD;AHAR(1280)-AM  O(1280-2);;
AM  O;AMD(1280-2)-AM  N(1280-2);;
AM  N;AM  O(1280-2)-1108-AM  W(1280-2);;
AM  W;;AM  N(1280-2)-1210/1760-AM  S(1280-2);AM  N(1280-2)-1210/1760-AM  S(1280-2)
