RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HBS;;HBS68/301-HGGLO H3;HBS68/301-HGGLO H3
H2820;HBS-HGGL;;
H2818;HBS-HGGL;;
H2807;HBS-HGGL;;
HGAA;HBS-HGGL;;
H2814;HBS-HGGL;;
H2812;HBS-HGGL;;
H2801;HBS-HGGL;;
HGGLO;HBS-1-HLER;;
HGGL;HBS-1-HLER;;
H402G;HGGL-HP;;
H401W;HGGL-HP;;
HVEC;HBS-231-HLER;;
H933V;HGGL-HP;;
H932V;HGGL-HP;;
H931P;HGGL-HP;;
H943P;HGGL-HP;;
H942V;HGGL-HP;;
H930V;HGGL-HP;;
H941P;HGGL-HP;;
H929P;HGGL-HP;;
H928V;HGGL-HP;;
H940V;HGGL-HP;;
H927W;HGGL-HP;;
HP  G;HGGL-HP;;
HP;HGGL-101-HLER;;
H909P;HP-HLER;;
H908P;HP-HLER;;
H905V;HP-HLER;;
H907V;HP-HLER;;
HVOE;HP-HLER;;
H904P;HP-HLER;;
H902P;HP-HLER;;
H889V;HP-HLER;;
H888V;HP-HLER;;
HHAE;HBS-802-HLER;;
H883H;HP-HLER;;
H884H;HP-HLER;;
HRAT;HP-HLER;;
HLER;;HBS-1-HH;HBS-1-HH
