RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HBS;HGGLO-307-HSMK H2;;
HSMK;HBS-HBUH;;
HBUH;HSMK-HWED;;
H3316;HBUH-HWED;;
HWED;HBUH-HWEA;;
HWEA;HBUH-HHML;;
HSDL;HWEA-3-HHLM;;
H211K;HSDL-HKOL;;
H210S;HSDL-HKOL;;
H213K;HSDL-HKOL;;
H212S;HSDL-HKOL;;
HKOL;HWEA-1-HHLM;;
H231F;HKOL-HFST;;
H230K;HKOL-HFST;;
H233F;HKOL-HFST;;
H232K;HKOL-HFST;;
HFST;HWEA-201-HHLM;;
H240F;HFST-HHLM;;
H241H;HFST-HHLM;;
H242F;HFST-HHLM;;
H243H;HFST-HHLM;;
H244F;HFST-HHLM;;
HHLM;HBS-2-LM;;
YLHBL;HHLM-LHBK;;
LQHB;HHLM-LEI;;
LHBK;HHLM-LEI;;
L4528;HHLM-LEI;;
L4518;HHLM-LEI;;
L4427;HHLM-LEI;;
L4417;HHLM-LEI;;
LMBN;HHLM-2-LEI;;
LWF;HHLM-2-LEI;;
LEI;HHLM-72/32-LMS;;
LEI G;LEI-72/32-LMS;;
LOV;LEI-LMS;;
L4215;LEI-LMS;;
L4225;LEI-LMS;;
L4126;LEI-LMS;;
L4116;LEI-LMS;;
LDD;LEI-2-LMS;;
LOL;LEI-LMS;;
LWL;LEI-LMS;;
LNR;LEI-2-LMS;;
L3922;LEI-LMS;;
L3912;LEI-LMS;;
L3911;LEI-LMS;;
L3921;LEI-LMS;;
LMS;;LEI-3802-LM(72);LEI-3802-LM(72)
