RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HBR A;;HBR W-1-HB(1401-2);HBR W-1-HB(1401-2)
HB;HBR A-1404/0504-HVAH;;
H175B;HB-HVAH;;
H176V;HB-HVAH;;
HVAH;HB-HHAT;;
HHAT;HVAH-HKI;;
HBHM;HB-1-HKI;;
HGA;HB-HKI;;
HQDR;HGA-HKI;;
HDRY;HGA-HKI;;
H02DK;HGA-HKI;;
H01KD;HGA-HKI;;
HKI;HGA-602/402-HDIP H602;;
H22KB;HKI-HDIP;;
HBAR;HKI-HDIP;;
H21SB;HKI-HDIP;;
HSYK;HKI-204-HDIP;;
H04SB;HKI-HDIP;;
H03BS;HKI-HDIP;;
HBRA;HKI-2-HDIP;;
H102B;HKI-HDIP;;
H02BB;HKI-HDIP;;
H01BB;HKI-HDIP;;
HBAS;HKI-1-HDIP;;
H124B;HKI-HDIP;;
H24BT;HKI-HDIP;;
H123B;HKI-HDIP;;
H23TB;HKI-HDIP;;
H122B;HKI-HDIP;;
H22BT;HKI-HDIP;;
H121B;HKI-HDIP;;
H21TB;HKI-HDIP;;
HT;HKI-1-HDIP;;
H02TD;HKI-HDIP;;
H101T;HKI-HDIP;;
H01DT;HKI-HDIP;;
HDRE;HKI-1-HDIP;;
H22DB;HKI-HDIP;;
H121D;HKI-HDIP;;
H21BD;HKI-HDIP;;
HBNF;HKI-2-HDIP;;
H02BD;HKI-HDIP;;
H111B;HKI-HDIP;;
H01DB;HKI-HDIP;;
HDRB;HKI-2-HDIP;;
H220D;HKI-HDIP;;
H219D;HKI-HDIP;;
H218D;HKI-HDIP;;
H217D;HKI-HDIP;;
HDIP;HKI-301-HO;;
H208L;HDIP-HO;;
H212L;HDIP-HO;;
H211D;HDIP-HO;;
H206L;HDIP-HO;;
H210L;HDIP-HO;;
H209D;HDIP-HO;;
HLMB;HDIP-1-HO;;
H543L;HDIP-HO;;
H544L;HDIP-HO;;
H542L;HDIP-HO;;
H541L;HDIP-HO;;
H539L;HDIP-HO;;
H540L;HDIP-HO;;
H538L;HDIP-HO;;
H537L;HDIP-HO;;
HLMF;HDIP-503-HO;;
HQLM;HDIP-HO;;
H534D;HDIP-HO;;
H533L;HDIP-HO;;
HDRO;HDIP-201-HO;;
HQBO;HDIP-HO;;
H12DB;HDIP-HO;;
H11BD;HDIP-HO;;
H10DB;HDIP-HO;;
H09BD;HDIP-HO;;
HBOM;HDIP-4-HO;;
H006B;HDIP-HO;;
H05OB;HDIP-HO;;
H04BO;HDIP-HO;;
H03OB;HDIP-HO;;
H02BO;HDIP-HO;;
H01OB;HDIP-HO;;
HOSC;HDIP-2-HO;;
H26OV;HDIP-HO;;
H24OV;HDIP-HO;;
H23VO;HDIP-HO;;
H22OV;HDIP-HO;;
H21VO;HDIP-HO;;
HVEH;HDIP-2-HO;;
H02VB;HDIP-HO;;
H03BV;HDIP-HO;;
H01BV;HDIP-HO;;
HBEM;HDIP-3-HO;;
H24BO;HDIP-HO;;
H25OB;HDIP-HO;;
H23OB;HDIP-HO;;
H22BO;HDIP-HO;;
H21OB;HDIP-HO;;
HO  N;;HDIP(2200-2)-80-HO S(2200-2) 6;HDIP(2200-2)-80-HO S(2200-2) 6
