RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HER;;HE-141-HLEE 6;HE-141-HLEE 6
H354E;HE-HLEE;;
H351E;HE-HLEE;;
HODU;HE-1-HLEE;;
H06OL;HE-HLEE;;
H05LO;HE-HLEE;;
HNM;HE-HLEE;;
HLEE;HE-001-HLAT;;
HLEEP;HLEE-101-HLAT;;
HLEEA;HLEEP-HIHV;;
H02LP;HE R-HLAT;;
H01PL;HE R-HLAT;;
HIHV;HLEE-2-HLAT;;
HPAP;HLEE-2-HLAT;;
HASD;HLEE-1-HLAT;;
HLE;HLEE-HLAT;;
HDOP;HLEE-1-HLAT;;
H22DL;HLEE-HLAT;;
H21LD;HLEE-HLAT;;
HLAT;HLEE-1-HR;;
H02LH;HLAT-HR;;
H01HL;HLAT-HR;;
HHAR;HLAT-1-HR;;
HRWA;HLAT-HR;;
H12HM;HLAT-HR;;
H11MH;HLAT-HR;;
HMEP;HLAT-1-HR;;
H02ML;HLAT-HR;;
H01GM;HLAT-HR;;
HGEE;HLAT-HR;;
HHOHA;HLAT-HR;;
HLIS;HLAT-HR;;
HLIG;HLAT-1-HR;;
HFAS;HLAT-HR;;
HHKF;HLAT-2-HR;;
HLED;HLAT-2-HR;;
HEM;HHKF-HSAL;;
HSAL;HLAT-3-HR;;
H06SR;HSAL-HR;;
H05RS;HSAL-HR;;
HQR;HSAL-HR;;
H2014;HSAL-HR;;
H2024;HSAL-HR;;
H2013;HSAL-HR;;
HR;HSAL-4-HO;;
H08EH;HR-HO;;
H07HE;HR-HHTL;;
H06EH;HR-HHTL;;
H05HE;HR-HHTL;;
HHTL;HR-HESH;;
HESH;HR-1-HO;;
HI;HR-1-HO;;
H04IL;HR-HO;;
HLGG;HR-HO;;
H03VL;HR-HO;;
HVEP;HR-1-HO;;
HLOT;HR-2-HO;;
HQOE;HR-HO;;
HOE;HR-22-HO;;
H44EH;HR-HO;;
H43HE;HR-HO;;
H42EH;HR-HO;;
H41HE;HR-HO;;
HOHT;HR-HO;;
HO  U;HOE(2992-2)-17-HOR O(1622-1);;
HOR O;;HO U(1622-1)-202H/151-HLRI(1620-0);HO U(1622-1)-202H/151-HLRI(1620-0)
