RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BBI;;BABO-1-BOR;BABO-1-BOR
BBI N;BBI-1-BOR;;
BBOD;BBI-BOR;;
BOR;BBI-21-WNAS;;
BSAH;BOR-BFN;;
WNAS;BOR-1-WGRG;;
W 191;WNAS-WLO;;
W 193;WNAS-WLO;;
WGRG;WNAS-1-WLO;;
W 214;WNAS-WLO;;
W 212;WNAS-WLO;;
WLO;WGRG-1-WGRA;;
W 041;WLO-WGRA;;
W 043;WLO-WGRA;;
W 042;WLO-WGRA;;
W 044;WLO-WGRA;;
WGRA;WLO-1-WF;;
WSEI;WGRA-WF;;
WDWE;WGRA-WF;;
W053;WGRA-WF;;
W054;WGRA-WF;;
W055;WGRA-WF;;
W056;WGRA-WF;;
WF;WGRA-1-WNT;;
WQF;WF-WNT;;
W071;WF-WNT;;
W073;WF-WNT;;
W072;WF-WNT;;
W074;WF-WNT;;
WDRE;WF-WNT;;
W075;WF-WNT;;
W076;WF-WNT;;
WNT;WF-1-WKG;;
W 111;WNT-WKG;;
W 113;WNT-WKG;;
W 114;WNT-WKG;;
W 112;WNT-WKG;;
WKG;WNT-1-WWR;;
W 115;WNT-WWR;;
W 117;WNT-WWR;;
W 118;WNT-WWR;;
W 116;WNT-WWR;;
WKGW;WNT-1-WWR;;
WWR;WKGW-221-WGOH;;
WGOH;WWR-1-WVR;;
W 155;WWR-WVR;;
W 157;WWR-WVR;;
W 156;WWR-WVR;;
W 158;WWR-WVR;;
WVR;WGOH-1-WLG;;
WLG;WVR-1-WLDO;;
WLDO;WVR-WPZ;;
WPZA;WLDO-WLA;;
WPZ;WLDO-WLA;;
WSBA;WPZ-WLA;;
WSBN;WPZ-WLA;;
WLA;WPZ-1-WKV;;
WKRP;WLA-WKV;;
W681;WLA-WKV;;
WST;WLA-WKV;;
W692;WLA-WKV;;
WKV;WLA-1-WR;;
WDF;WKV-WWBW;;
WDF N;WDF-WWBW;;
WWBW;WDF-WWBO;;
WWBO;WWBW-WRK;;
WRK;WWBO-WRKD;;
WRKD;WWBO-WRS;;
WRSS;WRKD-42-WRS;;
WRS;;WRSS-42/135-WRSN;WRSS-42/135-WRSN
BBI;;BABO-1-BOR;BABO-1-BOR
BBI N;BBI-1-BOR;;
BBOD;BBI-BOR;;
BOR;BBI-21-WNAS;;
BSAH;BOR-BFN;;
WNAS;BOR-1-WGRG;;
W 191;WNAS-WLO;;
W 193;WNAS-WLO;;
WGRG;WNAS-1-WLO;;
W 214;WNAS-WLO;;
W 212;WNAS-WLO;;
WLO;WGRG-1-WGRA;;
W 041;WLO-WGRA;;
W 043;WLO-WGRA;;
W 042;WLO-WGRA;;
W 044;WLO-WGRA;;
WGRA;WLO-1-WF;;
WSEI;WGRA-WF;;
WDWE;WGRA-WF;;
W053;WGRA-WF;;
W054;WGRA-WF;;
W055;WGRA-WF;;
W056;WGRA-WF;;
WF;WGRA-1-WNT;;
WQF;WF-WNT;;
W071;WF-WNT;;
W073;WF-WNT;;
W072;WF-WNT;;
W074;WF-WNT;;
WDRE;WF-WNT;;
W075;WF-WNT;;
W076;WF-WNT;;
WNT;WF-1-WKG;;
W 111;WNT-WKG;;
W 113;WNT-WKG;;
W 114;WNT-WKG;;
W 112;WNT-WKG;;
WKG;WNT-1-WWR;;
W 115;WNT-WWR;;
W 117;WNT-WWR;;
W 118;WNT-WWR;;
W 116;WNT-WWR;;
WKGW;WNT-1-WWR;;
WWR;WKGW-221-WGOH;;
WGOH;WWR-1-WVR;;
W 155;WWR-WVR;;
W 157;WWR-WVR;;
W 156;WWR-WVR;;
W 158;WWR-WVR;;
WVR;WGOH-1-WLG;;
WLG;WVR-1-WLDO;;
WLDO;WVR-WPZ;;
WPZA;WLDO-WLA;;
WPZ;WLDO-WLA;;
WSBA;WPZ-WLA;;
WSBN;WPZ-WLA;;
WLA;WPZ-1-WKV;;
WKRP;WLA-WKV;;
W681;WLA-WKV;;
WST;WLA-WKV;;
W692;WLA-WKV;;
WKV;WLA-1-WR;;
WDF;WKV-WWBW;;
WDF N;WDF-WWBW;;
WWBW;WDF-WWBO;;
WWBO;WWBW-WRK;;
WRK;WWBO-WRKD;;
WRKD;WWBO-WRS;;
WRSS;WRKD-43-WRS;;
WRD;WRKD-WRSS;;
WRS;;WRD-127;WRD-127
