RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
WPS;;WTA-2-WA;WTA-2-WA
WA;WPS-2-WE;;
W9906;WA-WBR;;
W9907;WA-WBR;;
W9905;WA-WBR;;
W9704;WA-WBR;;
W9703;WA-WBR;;
WCO;WA-2-WBR;;
WCOK;WCO-WBR;;
W9701;WCO-WBR;;
W9702;WCO-WBR;;
WBR;WCO-WE;;
WE;WBR-2-WBT;;
W9502;WE-WBT;;
W9501;WE-WBT;;
W9404;WE-WBT;;
W9403;WE-WBT;;
W9412;WE-WBT;;
WMCH;WE-WBT;;
WBT;WE-2-BBRN;;
W9402;WBT-BBRN;;
W9401;WBT-BBRN;;
WRZ;WBT-BBRN;;
W9206;WBT-BBRN;;
W9205;WBT-BBRN;;
BBRN;WBT-4-BKAR;;
B9203;BBRN-BKAR;;
B9204;BBRN-BKAR;;
BQBU;BBRN-BKAR;;
B9201;BBRN-BKAR;;
B9202;BBRN-BKAR;;
BKAR;;BBU-2-BAKO;BBU-2-BAKO
