RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BKAR;;BAKO-1-BBU;BAKO-1-BBU
B9202;BKAR-BBRN;;
B9201;BKAR-BBRN;;
BQBU;BKAR-BBRN;;
B9204;BKAR-BBRN;;
B9203;BKAR-BBRN;;
BBRN;BKAR-5-WBT;;
W9205;BBRN-WBT;;
W9206;BBRN-WBT;;
WRZ;BBRN-WBT;;
W9401;BBRN-WBT;;
W9402;BBRN-WBT;;
WBT;BBRN-1-WE;;
WMCH;WBT-WE;;
W9412;WBT-WE;;
W9403;WBT-WE;;
W9404;WBT-WE;;
W9501;WBT-WE;;
W9502;WBT-WE;;
WE;WBT-1-WBR;;
WBR;WE-WCO;;
W9702;WBR-WCO;;
W9701;WBR-WCO;;
WCOK;WBR-WCO;;
WCO;WBR-1-WA;;
W9703;WBR-WA;;
W9704;WBR-WA;;
W9905;WBR-WA;;
W9907;WBR-WA;;
W9906;WBR-WA;;
WA;WE-1-WPS H4;;
WPS;;WA-1-WTA D1;WA-1-WTA D1
