RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
NGM;;NJS-3/22-NWA 6 H2;NJS-3/22-NWA 6 H2
NWFD;NGM-452-NWA;;
NEM;NGM-3-NWA;;
NT;NGM-3-NWA;;
NARN;NGM-2-NWA;;
NMHW;NGM-2-NWA;;
NWA;NGM-5-NS 6;;
N 26A;NRTD-NS;;
N 25A;NRTD-NS;;
NBR;NRTD-NS;;
N 24A;NRTD-NS;;
N 23A;NRTD-NS;;
N 422;NRTD-NS;;
N 421;NRTD-NS;;
NS;NWA-7-NBA;;
NSMT;NS-NBA;;
NSST;NS-602-NBA;;
N 572;NS-NBA;;
N 571;NS-NBA;;
NGAE;NRTD-503-NBA;;
N 62A;NS-NBA;;
N  61;NS-NBA;;
NHT;NS-1-NBA;;
N 10B;NS-NBA;;
N  9B;NS-NBA;;
NZ;NS-203-NBA;;
NZK;NS-NBA;;
NEE;NS-104-NBA;;
N 482;NS-NBA;;
N 481;NS-NBA;;
NSTAF;NS-NBA;;
NSTAA;NS-NBA;;
N 462;NS-NBA;;
N 461;NS-NBA;;
NOH;NS-403-NBA;;
NHN;NS-2-NBA;;
NBA;;NS-05-NF 6 H2;NS-05-NF 6 H2
