RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
NWH;;NAN-201-NGM H2;NAN-201-NGM H2
NWH F;NWH-1-NGM;;
NWZ;NWH-NGM;;
N 11E;NWH-NGM;;
N 12E;NWH-NGM;;
N 13E;NWH-NGM;;
N 14E;NWH-NGM;;
NVE;NWH-2-NGM;;
N 21A;NWH-NGM;;
N 22A;NWH-NGM;;
N 23B;NWH-NGM;;
N 24B;NWH-NGM;;
N 25B;NWH-NGM;;
N 26B;NWH-NGM;;
NTHM;NWH-1-NGM;;
N 31B;NWH-NGM;;
N 32B;NWH-NGM;;
NREZ;NWH-501-NGM;;
N 37A;NWH-NGM;;
N 38A;NWH-NGM;;
NHIS;NWH-NGM;;
N 39A;NWH-NGM;;
N 40A;NWH-NGM;;
N 41A;NWH-NGM;;
N 42A;NWH-NGM;;
N 43A;NWH-NGM;;
N 44A;NWH-NGM;;
NKA;NWH-13/3/30-NGM H1;;
N 53B;NWH-NGM;;
N 54A;NWH-NGM;;
N 55A;NWH-NGM;;
N 56B;NWH-NGM;;
N 57B;NWH-NGM;;
N 58B;NWH-NGM;;
N 59A;NWH-NGM;;
N 161;NWH-NGM;;
N 60C;NWH-NGM;;
N 160;NWH-NGM;;
N 61A;NWH-NGM;;
N 62B;NWH-NGM;;
N 63A;NWH-NGM;;
N  64;NWH-NGM;;
NWFH;NWH-NGM;;
N 65A;NWH-NGM;;
N  66;NWH-NGM;;
N 67A;NWH-NGM;;
NGM;;NWH-5-INAH;NWH-5-INAH
