RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
NWH;;FFU-202-NAN 6;FFU-202-NAN 6
N 956;NWH-MTL;;
N 957;NWH-MTL;;
NWS;NWH-MTL;;
N954A;NWH-MTL;;
N 955;NWH-MTL;;
N952A;NWH-MTL;;
N 953;NWH-MTL;;
NWHWU;NWH-TL;;
NWHW;NWH-6-TL;;
TRCB;NWH-TL;;
T 676;NWH-TL;;
T 675;NWH-TL;;
TGN;NWR-642-TL H2;;
T 556;NWH-TL;;
T 555;NWH-TL;;
TKU;NWH-TL;;
TQGR;NWH-TL;;
TGRN;NWH-TL;;
TWIT;NWH-1-TL;;
T 376;NWH-TL;;
TZI;NWH-TL;;
T 375;NWH-TL;;
TGRS;NWH-TL;;
TGRB;NWH-2-TL;;
TGLH;NWH-TL;;
TL;NWH-2-TO;;
TKF;TL-103-TO;;
T 261;TL-TO;;
T 262;TL-TO;;
TBOX;TL-242-TO;;
YKMBE;TL-TO;;
T 44O;TL-TO;;
T 43O;TL-TO;;
TEU;TL-2-TH;;
T 41O;TL-TO;;
T 40O;TL-TO;;
TRBG;TL-TO;;
TO;TL-2-TH;;
TAD;TO-TH;;
T 34O;TO-TH;;
T 33O;TO-TH;;
TSE;TO-TH;;
T 32O;TC-TH;;
T 31O;TC-TH;;
TRO;TC-TH;;
TML;TO-3-TH;;
TZU;TO-2-TH;;
TSY;TO-TH;;
T 24O;TO-TH;;
T 23O;TO-TH;;
TND;TO-TH;;
THZ;TO-TH;;
T 22O;TO-TH;;
T 21O;TO-TH;;
TUG;TO-TH;;
TBF;TO-4-TH;;
TBFS;TO-TH;;
TBKA;TO-TH;;
TBK;TO-TH;;
T 17O;TO-TH;;
T 18O;TO-TH;;
TN;TO-2-TH;;
T 14H;TO-TH;;
T 13H;TO-TH;;
THST;TO-TH;;
TH;TO-4-TBM;;
TH  G;TH-41-TBM;;
TH  S;TH-141-TBM;;
TH  K;TH-241-TBM;;
T 54H;TH-TBM;;
T 53H;TH-TBM;;
TNO;TH-TBM;;
T 52H;TH-TBM;;
T 51H;TH-TBM;;
TLN;TH-3-TBM;;
T299H;TH-TBM;;
T298H;TH-TBM;;
TKM;TH-TBM;;
TKMA;TH-TBM*1;;
TWH;TH-2-TBM;;
TBEA;TH-1-TBM*1;;
TBE;TH-TBM;;
T294H;TH-TBM;;
T293H;TH-TBM;;
TBM;TH-8-TS/S;;
T266L;TBM-TS;;
TTM;TBM/S-2-TS/S;;
T376L;TBM-TS;;
TAX;TBM/S-3-TS/S;;
TLU;TBM/S-3-TS/F;;
TKAH;TBM-TK O;;
TK  O;;TKAH-311-TSU;TKAH-311-TSU
