RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
NWH;;FFU-202-NAN 6;FFU-202-NAN 6
N 956;NWH-MTL;;
N 957;NWH-MTL;;
NWS;NWH-MTL;;
N954A;NWH-MTL;;
N 955;NWH-MTL;;
N952A;NWH-MTL;;
N 953;NWH-MTL;;
NWHWU;NWH-MTL;;
NWHO;NWH-2-MTL;;
N 50A;NWH-MTL;;
N 51A;NWH-MTL;;
NWN;NWH-404-MTL;;
NGOD;NWH-MTL;;
N 49A;NWH-MTL;;
N 48A;NWH-MTL;;
NOF;NWH-3-MTL;;
NMT;NWH-303-MTL;;
N  46;NWH-MTL;;
N 47A;NWH-MTL;;
N  45;NWH-MTL;;
N 44B;NWH-MTL;;
NHH;NWH-202-MTL;;
NU;NWH-2-MTL;;
N 41B;NWH-MTL;;
N 38B;NWH-MTL;;
N 38D;NWH-MTL;;
NERM;NWH-MTL;;
N 39B;NWH-MTL;;
N 36A;NWH-MTL;;
N 36C;NWH-MTL;;
N 37B;NWH-MTL;;
NSTN;NWH-3-MTL;;
NBUW;NWH-MTL;;
N 34B;NWH-MTL;;
N 35A;NWH-MTL;;
N 32A;NWH-MTL;;
N 33A;NWH-MTL;;
NON;NWH-1-MTL;;
N 31C;NWH-MTL;;
N 30B;NWH-MTL;;
N 29B;NWH-MTL;;
N 28B;NWH-MTL;;
NLE;NWH-303-MTL;;
N 26C;NWH-MTL;;
N 27B;NWH-MTL;;
NAN;NWH-4-MTL;;
N 20A;NWH-MTL;;
N  19;NWH-MTL;;
N 18A;NWH-MTL;;
N 118;NWH-MTL;;
N  17;NWH-MTL;;
N 117;NWH-MTL;;
NANS;NWH-MTL;;
N 16A;NWH-MTL;;
N 15A;NWH-MTL;;
NTF;NWH-201-MTL;;
N 13B;NWH-MTL;;
N 14B;NWH-MTL;;
NMS;NWH-MTL;;
N 11B;NWH-MTL;;
N 12B;NWH-MTL;;
NGUN;NWH-4-MTL;;
N 10C;NWH-MTL;;
N  9A;NWH-MTL;;
NWD;NWH-101-MTL;;
N 608;NWH-MTL;;
N 607;NWH-MTL;;
N 606;NWH-MTL;;
N 705;NWH-MTL;;
N 605;NWH-MTL;;
N 604;NWH-MTL;;
N 603;NWH-MTL;;
N 602;NWH-MTL;;
N 601;NWH-MTL;;
MTL;;NWH-4-MIH 6;NWH-4-MIH 6
