RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
MTL;;MDT-5-NWH;MDT-5-NWH
N 601;MTL-NWH;;
N 602;MTL-NWH;;
N 603;MTL-NWH;;
N 604;MTL-NWH;;
N 605;MTL-NWH;;
N 705;MTL-NWH;;
N 606;MTL-NWH;;
N 607;MTL-NWH;;
N 608;MTL-NWH;;
NWD;MTL-102-NWH;;
N  9A;MTL-NWH;;
N 10C;MTL-NWH;;
NGUN;MTL-3-NWH;;
N 12B;MTL-NWH;;
N 11B;MTL-NWH;;
NMS;MTL-NWH;;
N 14B;MTL-NWH;;
N 13B;MTL-NWH;;
NTF;MTL-202-NWH;;
N 15A;MTL-NWH;;
N 16A;MTL-NWH;;
NANS;MTL-NWH;;
N 117;MTL-NWH;;
N  17;MTL-NWH;;
N 118;MTL-NWH;;
N 18A;MTL-NWH;;
N  19;MTL-NWH;;
N 20A;MTL-NWH;;
NAN;MTL-3-NWH;;
N 27B;MTL-NWH;;
N 26C;MTL-NWH;;
NLE;MTL-301-NWH;;
N 28B;MTL-NWH;;
N 29B;MTL-NWH;;
N 30B;MTL-NWH;;
N 31C;MTL-NWH;;
NON;MTL-2-NWH;;
N 33A;MTL-NWH;;
N 32A;MTL-NWH;;
N 35A;MTL-NWH;;
N 34B;MTL-NWH;;
NBUW;MTL-NWH;;
NSTN;MTL-2-NWH;;
N 37B;MTL-NWH;;
N 36C;MTL-NWH;;
N 36A;MTL-NWH;;
N 39B;MTL-NWH;;
NERM;MTL-NWH;;
N 38D;MTL-NWH;;
N 38B;MTL-NWH;;
N 41B;MTL-NWH;;
NU;MTL-3-NWH;;
NHH;MTL-201-NWH;;
N 44B;MTL-NWH;;
N  45;MTL-NWH;;
N 47A;MTL-NWH;;
N  46;MTL-NWH;;
NMT;MTL-302-NWH;;
NOF;MTL-2-NWH;;
N 48A;MTL-NWH;;
N 49A;MTL-NWH;;
NGOD;MTL-NWH;;
NWN;MTL-402-NWH;;
N 51A;MTL-NWH;;
N 50A;MTL-NWH;;
NWHO;MTL-1-NWH;;
NWHWU;MTL-NWH;;
N 953;MTL-NWH;;
N952A;MTL-NWH;;
N 955;MTL-NWH;;
N954A;MTL-NWH;;
NWS;MTL-NWH;;
N 957;MTL-NWH;;
N 956;MTL-NWH;;
NWH;;NAN-16-FFU 6;NAN-16-FFU 6
