RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
NWH;;NWR U-202-NN 6;NWR U-202-NN 6
N 126;NWH-NF;;
N 125;NWH-NF;;
N 124;NWH-NF;;
N 123;NWH-NF;;
N122A;NWH-NF;;
N121A;NWH-NF;;
N 120;NWH-NF;;
N 119;NWH-NF;;
N118A;NWH-NF;;
N117A;NWH-NF;;
NRTD;NWH-6-NF;;
N 112;NWH-NF;;
N 111;NWH-NF;;
N 110;NWH-NF;;
N 109;NWH-NF;;
NDEB;NWH-3-NF;;
N103C;NWH-NF;;
N102B;NWH-NF;;
N 152;NWH-NF;;
N101E;NWH-NF;;
N 151;NWH-NF;;
NBM;NWH-NF;;
N 100;NWH-NF;;
NKN;NWH-3-NF;;
N  92;NWH-NF;;
N  91;NWH-NF;;
NMM;NWH-602-NF;;
NI;NWH-3-NF;;
NMEI;NWH-3-NF;;
N 74A;NWH-NF;;
N 73B;NWH-NF;;
N 72C;NWH-NF;;
N 71B;NWH-NF;;
NHZM;NWH-NF;;
N 68B;NWH-NF;;
N 67B;NWH-NF;;
NMB;NWH-2-NF;;
N 58A;NWH-NF;;
N 57A;NWH-NF;;
N 56C;NWH-NF;;
N 55B;NWH-NF;;
NLD;NWH-101-NF;;
N 50B;NWH-NF;;
N 49B;NWH-NF;;
N 48B;NWH-NF;;
N 47B;NWH-NF;;
NNA;NWH-3-NF;;
NNAM;NWH-NF;;
N 40C;NWH-NF;;
N 37C;NWH-NF;;
N 38C;NWH-NF;;
N 36B;NWH-NF;;
N 35B;NWH-NF;;
N 34C;NWH-NF;;
N 33B;NWH-NF;;
NEK;NWH-1-NF;;
N 26E;NWH-NF;;
N 27D;NWH-NF;;
NHBU;NWH-1-NF;;
N 20B;NWH-NF;;
N 21C;NWH-NF;;
N 18B;NWH-NF;;
N 19A;NWH-NF;;
NPU;NWH-NF;;
N 16B;NWH-NF;;
N 15B;NWH-NF;;
NSDF;NWH-2-NF;;
N 10D;NWH-NF;;
N  9C;NWH-NF;;
NFBB;NWH-512-NF;;
N  6C;NWH-NF;;
N  3D;NWH-NF;;
N  4E;NWH-NF;;
NFUA;NWH-401-NF;;
NFUF;NWH-NF;;
N 401;NWH-NF;;
N  2G;NWH-NF;;
N  1K;NWH-NF;;
NF;NWH-5-NF  G;;
NF  G;NF-13-NHMA;;
NNGR;NF-204-NNR B;;
N 709;NF-NHMA;;
N 710;NF-NHMA;;
NHMA;NF-721-NNR B;;
NNR B;NHMA(5950)-551-NNR A(5950);;
NNR A;;NNR B-551/311-NNLW(5962);NNR B-551/311-NNLW(5962)
