RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
MN  A;;MN  L-612-MN  M;MN  L-612-MN  M
MN  M;MN  A-MN  F;;
MN  F;MN  M-MKF N;;
MKF;MN  F-3-MIH;;
M 527;MH-MIH;;
M 528;MH-MIH;;
MDA;MH-6-MIH;;
M 533;MH-MIH;;
M 534;MH-MIH;;
M 535;MH-MIH;;
M 536;MH-MIH;;
M 537;MH-MIH;;
M 538;MH-MIH;;
M 539;MH-MIH;;
M 540;MH-MIH;;
MRM;MH-1-MIH;;
M 543;MH-MIH;;
M 544;MH-MIH;;
M 545;MH-MIH;;
M 546;MH-MIH;;
M 547;MH-MIH;;
M 548;MH-MIH;;
MPE;MH-2-MIH;;
M 553;MH-MIH;;
M 554;MH-MIH;;
MPD;MH-MIH;;
M 555;MH-MIH;;
M 556;MH-MIH;;
MRS;MH-403-MIH;;
M 563;MH-MIH;;
M 564;MH-MIH;;
MPF;MH-2-MIH;;
M 574;MH-MIH;;
M 571;MH-MIH;;
MUHO;MH-1-MIH;;
M 579;MH-MIH;;
M 580;MH-MIH;;
MRBI;MH-2-MIH;;
M 581;MH-MIH;;
M 582;MH-MIH;;
M 583;MH-MIH;;
M 585;MH-MIH;;
M 586;MH-MIH;;
M 584;MH-MIH;;
M 588;MH-MIH;;
M 587;MH-MIH;;
MPBU;MH-1-MIH;;
M 589;MH-MIH;;
MBAE;MH-2-MIH;;
M 591;MH-MTL;;
M 592;MH-MIH;;
M 594;MH-MTL;;
MIH;;MH-4-MTL;MH-4-MTL
