RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
NPA G;;NPA-326-NN;NPA-326-NN
NSI;NPA-602-NPL;;
N 63C;NPA-NPL;;
N 62C;NPA-NPL;;
NSAN;NPA-2-NPL;;
NVI;NPA-1-NPL;;
NVIB;NPA-NPL;;
N 780;NPA-NPL;;
N 781;NPA-NPL;;
N 782;NPA-NPL;;
N 783;NPA-NPL;;
NPLG;NPA-NPL;;
NGIU;NPA-1-NPL;;
N 787;NPA-NPL;;
N 786;NPA-NPL;;
NOS;NPA-2-NOT;;
N 791;NPA-NPL;;
N 790;NPA-NPL;;
N 793;NPA-NPL;;
N 792;NPA-NPL;;
N 795;NPA-NPL;;
N 794;NPA-NPL;;
NPL;NPA-4-NOT;;
N 893;NPL-NOT;;
N 892;NPL-NOT;;
N 895;NPL-NOT;;
N 894;NPL-NOT;;
NSK;NPL-2-NOT;;
N 899;NPL-NOT;;
N898A;NPL-NOT;;
N 901;NPL-NOT;;
N 900;NPL-NOT;;
NST;NPL-3-NOT;;
N 11F;NPL-NOT;;
N 12F;NPL-NOT;;
N 13C;NPL-NOT;;
N 14C;NPL-NOT;;
NRA;NPL-1-NOT;;
N 17A;NPL-NOT;;
N 18C;NPL-NOT;;
NSUE;NPL-2-NOT;;
N 21D;NPL-NOT;;
N 22H;NPL-NOT;;
N 23H;NPL-NOT;;
N 24H;NPL-NOT;;
N 25I;NPL-NOT;;
N 26H;NPL-NOT;;
NMG;NPL-2-NOT;;
NOT;NPA-2-NRH;;
NROS;NOT-NRH;;
NBWH;NOT-NRH;;
NROB;;NOT-2-NRH;NOT-2-NRH
