RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
DF;;DH-201-DRBA;DH-201-DRBA
DCTA;DF(6248)-DRBA;;
DCT;DF-DRBA;;
DKE;DF-DRBA;;
DSTT;DF-DRBA;;
DCB;DF-1-DRBA;;
DPUM;DF-DRBA;;
DNI;DF-DRBA;;
DRBN;DF-DRBA;;
DRBA;DF-DGB;;
DAZ;DF-DKOT;;
D 776;DAZ-DKOT;;
D 775;DAZ-DKOT;;
D 774;DAZ-DKOT;;
D 773;DAZ-DKOT;;
D 772;DAZ-DKOT;;
D 771;DAZ-DKOT;;
DWE;DAZ-2-DKOT;;
D1103;DAZ-DKOT;;
D1102;DAZ-DKOT;;
D1105;DAZ-DKOT;;
D1104;DAZ-DKOT;;
D1107;DAZ-DKOT;;
D1106;DAZ-DKOT;;
D1109;DAZ-DKOT;;
D1108;DAZ-DKOT;;
D1111;DAZ-DKOT;;
D1113;DZA-DKOT;;
D1110;DAZ-DKOT;;
D1115;DAZ-DKOT;;
D1112;DAZ-DKOT;;
D1114;DAZ-DKOT;;
DKOT;DAZ-DGB;;
D1132;DKOT-DGB;;
D1131;DKOT-DGB;;
D1133;DKOT-DGB;;
D1135;DKOT-DGB;;
D1136;DKOT-DGB;;
D1137;DKOT-DGB;;
D1138;DKOT-DGB;;
DGB;DAZ-2-BEW;;
DZT;DGB-BEW;;
BFR;DGB-2-BEW;;
BQFR;DGB-BEW;;
BPW;DGB-BEW;;
YLLEW;DGB-BEW;;
BEW;DGB-1-BDKO;;
BHL;BEW-2-BDKO;;
YBLOR;BEW-BDKO;;
BRO;BHL-2-BDKO;;
BDKO;BRO-2-302-BDKN;;
BDKN;BDKO-BBRS;;
BBRS;BDKN-2-BWA;;
BWA;BBRS-1-BUK;;
BUK;BWA-2-BGO;;
BDF;BUK-BGO;;
BGO;BUK-2-BBA;;
BKDF;BGO-BBA;;
BBA;BGO-2-BNE;;
BNE;BBA-BWUE;;
BWUE;BNE-2-BZO;;
BZO;BWUE-1-BRSF;;
BZO A;BZO-BRSF;;
BDAB;BZO-BRSF;;
BPM;BDAB-BRSF;;
BRSF;;BZO-1-BBF;BZO-1-BBF
