RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
DXS;XTDP(7808)-DSA(6240);;
DSN;XTDP-1-DSA;;
D  36;XTDP-DSA;;
DSMI;XTDP-DSA;;
D  37;XTDP-DSA;;
D  40;XTDP-DSA;;
D  43;XTDP-DSA;;
D  46;XTDP-DSA;;
DSO;XTDP-1-DSA;;
DKRP;DSO-DSA;;
DSA;DSN-1-DPI;;
D6761;DSA-DPI;;
D6763;DSA-DPI;;
D6764;DSA-DPI;;
D6765;DSA-DPI;;
D6767;DSA-DPI;;
D6766;DSA-DPI;;
DKOH;DSA-DPI;;
D6569;DSA-DPI;;
D6568;DSA-DPI;;
D6570;DSA-DPI;;
D6571;DSA-DPI;;
D6572;DSA-DPI;;
DKOU;DSA-DPI;;
D6577;DSA-DPI;;
D6579;DSA-DPI;;
D6578;DSA-DPI;;
DRAT;DSA-1-DPI;;
D6581;DSA-DPI;;
D6583;DSA-DPI;;
D6587;DSA-DPI;;
D6584;DSA-DPI;;
D6586;DSA-DPI;;
DWH;DSA-DPI;;
D6589;DSA-DPI;;
D6590;DSA-DPI;;
D6591;DSA-DPI;;
D6592;DSA-DPI;;
D6594;DSA-DPI;;
DOG;DSA-DPI;;
D 499;DSA-DPI;;
D 100;DSA-DPI;;
D 101;DSA-DPI;;
D 102;DSA-DPI;;
DPI;DSA-2-DHD;;
DPI G;DSA-42-DHD;;
D 603;DPI-DHD;;
D 604;DPI-DHD;;
D 623;DPI-DHD;;
D 624;DPI-DHD;;
DHD;DPI(F)-3-DH(F);;
DNS;DHD-73-DH;;
D 793;DHD-DH;;
D 804;DHD-DH;;
DRKA;DHD-1-DH;;
D 921;DHD-DH;;
D 932;DHD-DH;;
D 951;DHD-DH;;
D 962;DHD-DH;;
DH;DHD(6240)-241-DFS(515);;
DFS;DH(361)-515-DF(6244);;
DF;;DH-201-DRBA;DH-201-DRBA
