RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LF  N;;BJUE-1N-LFU;BJUE-1N-LFU
LF  U;LFN-1N/1M-LNX;;
LSX;LF-DRO;;
LNX;LF-2-DRO;;
LQNX;LNX-DRO;;
LJL;LNX-DRO;;
DRO;LNX-2-DZN;;
DZN;DRO-2-DPR;;
DGLA;DR-DCW;;
DNUN;DR-DCW;;
DWIG;DR-2-DCW;;
DLEW;DR-DPR;;
DPR;DR-161/1-DCW;;
D571P;DPR-DCW;;
D682P;DPR-DCW;;
D131P;DPR-DCW;;
D242P;DPR-DCW;;
DNDR;DPR-1-DCW;;
DWEW;DPR-DCW;;
D 483;DPR-DCW;;
D 486;DPR-DCW;;
DCW B;DPR-1-DCW;;
DCW;DPR-7-DF(6249);;
DRBA;DCW(6249)-DF(6248);;
DRBN;DRBA-DF;;
DNI;DRBA-DF;;
DPUM;DRBA-DF;;
DCB;DRBA-2-DF;;
DSTT;DRBA-DF;;
DKE;DRBA-DF;;
DCT;DRBA-DF;;
DCTA;DRBA-DF(6248);;
DF;;DRBA-204-DH;DRBA-204-DH
