RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
DF;;DH-201-DRBA;DH-201-DRBA
DCTA;DF(6248)-DRBA;;
DCT;DF-DRBA;;
DKE;DF-DRBA;;
DSTT;DF-DRBA;;
DCB;DF-1-DRBA;;
DPUM;DF-DRBA;;
DNI;DF-DRBA;;
DRBN;DF-DRBA;;
DRBA;DF(6248)-DCW(6249);;
DCW;DF-3-DPR(6363);;
DCW B;DCW-2-DPR;;
D 486;DCW-DPR;;
D 483;DCW-DPR;;
DWEW;DCW-DPR;;
DNDR;DCW-2-DPR;;
D242P;DCW-DPR;;
D131P;DCW-DPR;;
D682P;DCW-DPR;;
D571P;DCW-DPR;;
DPR;DCW-2/162-DR;;
DLEW;DPR-DR;;
DWIG;DCW-1-DR;;
DNUN;DCW-DR;;
DGLA;DCW-DR;;
DZN;DPR-2-DRO;;
DRO;DZN-1-LNX;;
LJL;DRO-LNX;;
LQNX;DRO-LNX;;
LNX;DRO-1-LF;;
LSX;DRO-LF;;
LF  U;LNX-2M/2N-LFN(6133);;
LF  N;;LFU(6133)-2N-BJUE;LFU(6133)-2N-BJUE
