RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
DF;;DH-201-DRBA;DH-201-DRBA
DCTA;DF(6248)-DRBA;;
DCT;DF-DRBA;;
DKE;DF-DRBA;;
DSTT;DF-DRBA;;
DCB;DF-1-DRBA;;
DPUM;DF-DRBA;;
DNI;DF-DRBA;;
DRBN;DF-DRBA;;
DRBA;DF(6248)-DCW(6249);;
DCW;DF-3-DPR(6363);;
DCW B;DCW-2-DPR;;
D 486;DCW-DPR;;
D 483;DCW-DPR;;
DWEW;DCW-DPR;;
DNDR;DCW-2-DPR;;
D242P;DCW-DPR;;
D131P;DCW-DPR;;
D682P;DCW-DPR;;
D571P;DCW-DPR;;
DPR;DCW-2/162-DR;;
DLEW;DPR-DR;;
DWIG;DCW-1-DR;;
DNUN;DCW-DR;;
DGLA;DCW-DR;;
DZN;DPR-2-DR;;
DRA;DZN-DR(6363);;
DR;DRA-3-LBOR;;
DR  R;DRA-3/3-LBOR;;
D 578;DR-DOT;;
D 575;DR-DOT;;
DBT;DR-DOT;;
DOT;DR-0502-LDA;;
LDA;DOT-0402-LDH;;
LDH;LDA-0302-LWZ;;
LKUH;LDH-LWZ;;
LWZ;LDH-0242/0202-LBOR H0202;;
LWZW;LWZ-LBOR;;
L244W;LWZ-LBOR;;
L242W;LWZ-LBOR;;
L141W;LWZ-LBOR;;
L143W;LWZ-LBOR;;
LALT;LWZ-LBOR;;
LMAU;LWZ-LBOR;;
LMAC;LWZ-LBOR;;
L118W;LWZ-LBOR;;
L116W;LWZ-LBOR;;
L115W;LWZ-LBOR;;
L117W;LWZ-LBOR;;
LGE;LWZ-LBOR;;
LBOR;LWZ-5502-LEO;;
L5514;LBOR-LEO;;
L5524;LBOR-LEO;;
L5423;LBOR-LEO;;
L5413;LBOR-LEO;;
LEO;LBOR(6363)-3-LE(W439);;
LE;LBOR-125/87-LE UW439;;
LE  K;LE-10-LEV;;
LE  V;LE-10-LLS;;
LLS;LE-6-LLT;;
LLT;LLS-4-LLMO;;
LLMO;LLS-1-LWI;;
LWI;LLMO-24-LLW;;
LLW;LWI-3-LLWU;;
LLW U;LLW-3-LSD;;
LLW L;LLW-3-LSD(6403);;
L3322;LLW-LDI;;
L3117;LLW-LDI;;
LSD;LLW-2-LGOS;;
LSDW;LSD-LDI;;
LQGK;LSD-LGOS;;
L3126;LSD-LDI;;
L3113;LSD-LDI;;
LGKL;LSD-LDI;;
LGOSS;LSD-LH(6403);;
LGOS;LSD-7-LH(6403);;
L8111;LGOS-LH;;
L8112;LGOS-LH;;
LKAN;LGOS-LH;;
LHAL;LGOS-LHG(6430);;
LHG W;LHAL-207-LHGY(6350);;
LHG Y;LHGW(6350)-207-LHG;;
LHG;LHGW(6350)-40LHG;;
LHG U;;LHG-40-LHGM;LHG-40-LHGM
