RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LHG;;LHGU-40-LHAT(6350);LHGU-40-LHAT(6350)
LHG Y;LHG(6350)-210-LHGW;;
LHG W;LHG(6350)-210-LHAT;;
LHAT;LHG-LHAC;;
LHAC;LHAT-LRN;;
LRO;LHAC-LRN;;
LHW;LHAC-LRN;;
LHWW;LHAC-LRN;;
LSUEA;LHAW-2-LRN;;
LAG O;LHW-3-LRN;;
LAG;LH-1-LRN;;
LZBN;LAG-LRN;;
LTTO;LAG-LRN;;
LTT;LAG-2-LRN;;
LWAN;LAG-LRN;;
LAMS;LAG-LRN;;
LRN;LAG-1-UBT;;
LER;LRN-UBT;;
LHFT;LRN-UBT;;
LEL;LRN-1-UBT;;
LWOR;LRN-UBT;;
UBT;LRN-4/12-USG;;
UBM;UBT-4-USG;;
URIE;UBT-2-USG;;
USTB;UBT-USG;;
USG;UBT-4-UBK;;
UWAL;USG-UBK;;
UBEN;USG-UBK;;
UROS;USG-1-UBK;;
UBK;USG-1-UN;;
UQBK;USG-UN;;
UGSB;USG-UN;;
UHRH;USG-2-UN;;
UN  A;USG-1-UWK;;
UN;USG-1-UWK Hlang;;
UN  N;UN-UWK;;
UWTH;UN-UWK;;
UWK;UN-4-UL;;
UNA;UN-UL;;
UWIP;UN-UL;;
UBD;UN-1-UL;;
UGBH;UN-UL;;
USOL;UN-2-UL;;
UBE;UN-2-UL;;
UBEW;UN-1-UL;;
UNDO;UN-UL;;
U 012;UN-UL;;
U 011;UN-UL;;
UHAU;UN-UL;;
UL;UN-201-HEBG;;
UBEU;UL-HEBG;;
U 014;UL-HEBG;;
U 013;UL-HEBG;;
UWIR;UL-HEBG;;
UBOD;UL-HEBG;;
U 016;UL-HEBG;;
U 015;UL-HEBG;;
UHT;UL-301-HEBG;;
U 017;ULT-HEBG;;
UUD;UL-HEBG;;
U 018;UL-HEBG;;
U 020;UL-HEBG;;
U 019;UL-HEBG;;
UAR;UL-HEBG;;
YLHAE;UAR-HEBG;;
UQAR;UAR-HEBG;;
HQEB;UAR-HEBG;;
HEBGO;UL-HEBG;;
HEBG;UL-10-FK;;
HESW;HEBG-FWZN;;
FWZN;HEBG-2-FSPE;;
H003G;FWZN-FHED;;
H004G;FWZN-FHED;;
H006G;FWZN-FHED;;
FGTB;FWZN-FSPE;;
H005G;FWZN-FHED;;
YHFGH;FGTB-FHED;;
FQGT;FWZN-1-FHMD;;
FHED;FWZN-2-FHMD;;
F007D;FHED-FHMD;;
F008C;FHED-FHMD;;
FHMD;FHED-303-FSPE;;
F009A;FHMD-FSPE;;
FBOF;FHMD-FSPE;;
F010A;FHMD-FSPE;;
F011A;FHMD-FSPE;;
F012A;FHMD-FSPE;;
FSPE;FHMD-402-FIH;;
F135A;FSPE-FIH;;
F136A;FSPE-FIH;;
FQIHA;FSPE-FIH;;
FIH;FSPE-2-FNV;;
F191A;FIH-FNV;;
F192A;FIH-FNV;;
FNV;FIH-2-FKR N;;
FKR N;FNV-FKR;;
FKR;;FNV-H-38-2-FKR_S-3912;FNV-H-38-2-FKR_S-3912
