RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
SSR W;;SNK-278-STR;SNK-278-STR
SSH R;SSR-STR;;
SSH S;SSR-STR;;
SSB;SSR-03-STR;;
SSHI;SSH-STR;;
SLU;SSH-2-SMT;;
SVL;SSH-01-STR;;
SVLW;SSH-STR;;
SBO;SSH-1-SMT;;
SEN;SSH-2-STR;;
SSLV;SSH-STR;;
SSLS;SSH-2-STR;;
SDLS;SSH-STR;;
SDL;SSH-4-STR;;
SDLK;SSH-STR;;
SBE;SSH-SMT;;
S 7SK;SSH-SMT;;
S107S;SSH-SMT;;
S 8SK;SSH-SMT;;
S108S;SSH-SMT;;
S10SK;SSH-SMT;;
SFF;SSH-STR;;
S 9SK;SSH-SMT;;
SMZG;SSH-1-STR;;
SMZM;SSH-STR;;
SMZS;SSH-STR;;
S12SK;SSH-SMT;;
SBES;SSH-SMT;;
SMT;SSH-12/26-STR;;
SSLB;SSH-26/36-STR;;
SQSL;SSH-STR;;
YFKST;SSH-STR;;
STB;SSLB-1-SSER;;
S013F;SSLB-SSER;;
S014F;SSLB-SSER;;
SSER;SSLB-2-SSAB;;
SSAB;SSER-21-SWIG;;
S018E;SSAB-SWIG;;
SSOF;SSAB-1-SWIG;;
S017E;SSAB-SWIG;;
SWIG;SSAB-2-SKZ;;
SKAZ;SWIG-1-SKZ;;
SKZ;SWIG-2-SKU;;
SKZK;SKZ-SKU;;
SKU;SKZ-57-STRS-3230/3010;;
S047C;SKU-STRS;;
S050A;SKU-STRS;;
S048B;SKU-STRS;;
S049A;SKU-STRS;;
STRS;SKU-503-STR-3010/3132;;
STR;STRS-405-322-STR_N-3132;;
STR N;STR-111-SEG_O-3132/3142;;
SEG O;STR-11-74-SEG_N;;
SEG N;;SEG_O-56-SEG-3142/3144;SEG_O-56-SEG-3142/3144
