RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
SSR N;;SSH O-239-117;SSH O-239-117
SDUW;SSR-3-SNK;;
SSZ;SSH-1-SNK;;
SSZA;SSH-2-SNK;;
SFI;SSH-1-SNK;;
SFIM;SSH-SNK;;
SBDS;SSH-SNK;;
SLWR;SSH-2-SNK;;
SNK;SSH-26-SHO;;
S 3HN;SNK-SHO;;
SNKW;SNK-SHO;;
S 4HN;SNK-SHO;;
SNKE;SNK-SHO;;
SBX;SNK-2-SHO;;
S 1HN;SNK-SHO;;
S 2HN;SNK-SHO;;
SHO;SNK-04-SKL;;
S 867;SHO-SKL;;
S8167;SHO-SKL;;
S 870;SHO-SKL;;
S8170;SHO-SKL;;
SQBU;SHO-SKL;;
S 875;SSH-SKL;;
S8175;SSH-SKL;;
S 876;SSH-SKL;;
S8176;SSH-SKL;;
SBUM;SSH-SKL;;
SHPT;SSH-01-SKL;;
SLDN;SHO-SKL;;
SLD;SSH-1-SKL ZEB13;;
SKIB;SSH-41-SKL ZEB13;;
SEF;SSH-R2/N2-SKL;;
S 19E;SSH-SKL;;
S 20E;SSH-SKL;;
SVO;SSH-SKL;;
SKLS;SSH-SKL;;
S21HK;SSH-SKL;;
S22HK;SSH-SKL;;
SKEN;SSH-SKL;;
SKL;SSH-104-RN;;
S 1KN;SKL RN;;
S 2KN;SKL-RN;;
S 3KN;SKL-RN;;
S 4KN;SKL-RN;;
S 6KN;SKL-RN;;
S 5KN;SKL-RN;;
S 8KN;SKL-RN;;
S 7KN;SKL-RN;;
SHY;SKL-03-RN;;
SHY O;SSH-RN;;
R 13N;SKL-RN;;
R 12N;SKL-RN;;
R 14N;SKL-RN;;
RFST;SKL-RN;;
R 15N;SKL-RN;;
R 16N;SKL-RN;;
RWD;SKL-1N 2-RN;;
R 19N;SKL-RN;;
RNFS;SKL-RN;;
R 23N;SKL-RN;;
RWDG;SKL-RN;;
R 22N;SKL-RN;;
RNFL;SKL-RN;;
R 25N;SKL-RN;;
R 24N;SKL-RN;;
RLBP;SKL-7N 2-RN;;
R 35N;SKL-RN;;
R 34N;SKL-RN;;
R 37N;SKL-RN;;
R 36N;SKL-RN;;
RN;SSH-3/253-RM;;
RNBO;SSH-253-RM;;
RN  O;SSH-253-RM;;
R 41N;RN-RL;;
R 40N;RN-RL;;
R 43N;RN-RL;;
R 42N;RN-RL;;
RHLO;RN-N 1-RL;;
R447L;RN-RL;;
R446L;RN-RL;;
RBOH;RN-RL;;
RBOE;RN-RL ZEB105;;
RBOA;RN-RSD-RL;;
R483L;RN-RL;;
RSD;SSH-N 2II-RM;;
R587L;RN-RL;;
R586L;RN-RL;;
R589L;RN-RL;;
R588L;RN-RL;;
RLI;RN-504-RL;;
RLIA;RSD-RL;;
RLUR;RN-404/504-RM;;
RLUM;RN-R504/51-RM;;
RL  K;RN-T 51-RL;;
RL  T;RN-T51/13-RM;;
RL  S;RN-N 13-D-RM;;
RLSM;RL-D-RM;;
RQLM;RL-D-RM;;
RM;RL-D-R29/187 6/4;;
RM  O;RM-T187-RMR;;
RMR W;RM-R635-RMR K;;
RMR K;;RMR K-RMR D;RMR K-RMR D
