RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
RMR D;;RMR K-RSZ;RMR K-RSZ
RZHB;RMR-RSZ;;
R241S;RMF-RSZ;;
R243S;RMF-RSZ;;
R242S;RMF-RSZ;;
RSZ;RMF-R 8-RHK;;
ROFH;RSZ-RHK;;
RSZ S;RSZ-RHK;;
R315G;RM-RHK;;
R316G;RM-RHK;;
RHK;RSZ B-402-RWG;;
RNL;RHK-RGN;;
R547G;RHK-RGN;;
R517G;RHK-RGN;;
R518G;RHK-RGN;;
R548G;RHK-RGN;;
R519G;RHK-RGN;;
R520G;RHK-RGN;;
RWG;RSZ-N 1-RGN;;
R221G;RSZ-RGN;;
RWI;RSZ-RGN;;
R222G;RSZ-RGN;;
RMZ;RSZ-RGN NBS;;
R125K;RHK-RGN;;
R225G;RHK-RGN;;
R226G;RHK-RGN;;
RGN;RMZ F-N 1-RK;;
R 25K;RGN-RK;;
R 28K;RGN-RK;;
R 30K;RGN-RK;;
R 27K;RGN-RK;;
R 32K;RGN-RK;;
R132K;RGN-RK;;
RFTL;RGN-RK;;
R129G;RGN-RK;;
R 29K;RGN-RK;;
R 31K;RGN-RK;;
R 34K;RGN-RK;;
RBAN;RGN-N 12-RK;;
R 33K;RGN-RK;;
R 36K;RGN-RK;;
RKHA;RGN-RKR;;
RKR;;RKHA-107/407-RBRU;RKHA-107/407-RBRU
