RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
RKR;;RBRU-406/106-RKHA;RBRU-406/106-RKHA
RKHA;RKR-RGN;;
R 36K;RK-RGN;;
R 33K;RK-RGN;;
RBAN;RK-P 11-RGN;;
R 34K;RK-RGN;;
R 31K;RK-RGN;;
R 29K;RK-RGN;;
R129G;RK-RGN;;
RFTL;RK-RGN;;
R132K;RK-RGN;;
R 32K;RK-RGN;;
R 27K;RK-RGN;;
R 30K;RK-RGN;;
R 28K;RK-RGN;;
R 25K;RK-RGN;;
RGN;RK-P 2-RMZ R;;
R326G;RGN-RSZ;;
R325G;RGN-RSZ;;
RMZ;RGN-RSZ RTB;;
R222G;RGN-RSZ;;
RWI;RGN-RSZ;;
R221G;RGN-RSZ;;
RWG;RGN-P 2-RSZ;;
R520G;RGN-RHK;;
R519G;RGN-RHK;;
R548G;RGN-RHK;;
R518G;RGN-RHK;;
R517G;RGN-RHK;;
R547G;RGN-RHK;;
RNL;RGN-RHK;;
RHK;RWG G-401-RSZ;;
R316G;RHK-RM;;
R315G;RHK-RM;;
RSZ S;RHK-RSZ;;
ROFH;RHK-RSZ;;
RSZ;RHK-P10-RMF;;
R242S;RSZ-RMF;;
R243S;RSZ-RMF;;
R241S;RSZ-RMF;;
RZHB;RSZ-RMR;;
RMR D;RSZ-RMR E;;
RMR M;;RSZ-500/101-RM;RSZ-500/101-RM
