RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
RKR;;RKHA-107/407-RDA;RKHA-107/407-RDA
RKUW;RKR-RDA;;
RDA;RKR-RRA;;
RFM;RK-RRA;;
RBAS;RK-RRA;;
RDUN;RK-RRA;;
RDRM;RK-G-RRA;;
RBIE;RK-RRA;;
ROH;RK-N101-RRA;;
RRA;ROH-N 3-RAP;;
R 19R;RRA-RAP;;
R 18R;RRA-RAP;;
R121K;RRA-RAP*1;;
R 21K;RRA-RAP;;
R 20K;RRA-RAP;;
RRAS;RRA-RAP RTB;;
RHEB;RRA-RBB;;
R 25R;RRA-RAP;;
R 24K;RRA-RAP;;
RBB;B-N3-RAP R;;
R 31R;RRA-RAP;;
RSZN;RRA-RAP;;
R 30B;RRA-RAP;;
R 33R;RRA-RAP;;
R133R;RRA-RAP;;
RSZM;RRA-RAP;;
R 32R;RRA-RAP;;
R 35B;RRA-RAP;;
RBBL;RRA-RAP;;
R134B;RRA-RAP;;
R 34R;RRA-RAP;;
R 37R;RRA-RAP;;
R 36R;RRA-RAP;;
RBUE;RRA-RAP;;
ROW;RRA R-N2-RAP R;;
R 43O;RRA-RAP;;
R 42O;RRA-RAP;;
RAH;RRA-503-RAP;;
R 47R;RRA-RAP;;
R 46R;RRA-RAP;;
R 49R;RRA-RAP;;
R149A;RRA-RAP;;
R 48R;RRA-RAP;;
R148A;RRA-RAP;;
RR;RRA-RAP;;
R 51R;RRA-RAP;;
R 50R;RRA-RAP;;
R 53R;RRA-RAP;;
R 52R;RRA-RAP;;
RAPR;RRA R-RAP R;;
RAP;RRA R-N 2-RO R;;
RAPM;RO R-RO R;;
RWAE;RAP-ROG;;
ROG E;RWAe-ROG A;;
ROG A;;RO N-R 27 RO;RO N-R 27 RO
