RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
RMR D;;RMR K-RSZ;RMR K-RSZ
RZHB;RMR-RSZ;;
R241S;RMF-RSZ;;
R243S;RMF-RSZ;;
R242S;RMF-RSZ;;
RSZ;RMF-R 8-RHK;;
ROFH;RSZ-RHK;;
RSZ S;RSZ-RHK;;
R315G;RM-RHK;;
R316G;RM-RHK;;
RHK;RSZ B-402-RWG;;
RNL;RHK-RGN;;
R547G;RHK-RGN;;
R517G;RHK-RGN;;
R518G;RHK-RGN;;
R548G;RHK-RGN;;
R519G;RHK-RGN;;
R520G;RHK-RGN;;
RWG;RSZ-N 1-RGN;;
R221G;RSZ-RGN;;
RWI;RSZ-RGN;;
R222G;RSZ-RGN;;
RMZ;RSZ-RGN RTB;;
R325G;RSZ-RGN;;
R326G;RSZ-RGN;;
RGN;RMZ R-N 3-RBR;;
R3754;RGN-RBR;;
R3753;RGN-RBR;;
RKF;RGN-RBR;;
R3752;RGN-RBR;;
RBMT;RGN-RBR;;
R3751;RGN-RBR;;
RBRL;RGN-RBR;;
RBRP;RGN-RBR;;
RBR;RGN-N 4/O2-RBT 6;;
RBRO;RBR-RBT;;
RBRE;RBR-RBT;;
RBRF;RBR-RBT;;
R1595;RBR-RBT;;
R1587;RBR-RBT;;
R1582;RBR-RBT;;
R1592;RBR_RBT;;
RHIO;RBR-RBT;;
RHI;RBR-RBT;;
R1589;RBR-RBT;;
R1597;RBR-RBT;;
R1584;RBR-RBT;;
R1594;RBR-RBT;;
RHSM;RBR-RBT;;
R1591;RBR-RBT;;
R1586;RBR-RBT;;
RGOS;RBR-RBT;;
RGO;RBR-RBT;;
R1599;RBR-RBT;;
R1593;RBR-RBT;;
R1588;RBR-RBT;;
R1596;RBR-RBT;;
RBTD;RBR-RBT;;
RBT;RBR-N 5-TM;;
RBTN;RBT-TM;;
T160M;RBT-TM;;
T157M;RBT-TM;;
RBTI;RBT-TM;;
T158M;RBT-TM;;
T155M;RBT-TM;;
T156M;RBT-TM;;
TKNK;RBT-TM;;
T153M;RBT-TM;;
TOED;RBT-TM;;
T154M;RBT-TM;;
T151M;RBT-TM;;
T152M;RBT-TM;;
TMW;RBT-3-TM;;
T502M;RBT-TM;;
T503M;RBT-TM;;
TOET;RBT-TM;;
TM  N;RBT-31-TBM;;
TM;RBT-31/4-TBM;;
TMRO;TM-TBM;;
T420M;TM-TBM;;
T418M;TM-TBM;;
T425M;TM-TBM;;
T423M;TM-TBM;;
T416M;TM-TBM;;
T414M;TM-TBM;;
T421M;TM-TBM;;
T419M;TM-TBM;;
TIL;TM-TBM;;
TV;TM-1-TBM;;
TAIB;TM-TBM;;
YTTSE;TV-TBM;;
TSER;TM-TBM;;
T251V;TM-TBM;;
T252V;TM-TBM;;
TSA;TM-2-TBM;;
T234V;TM-TBM;;
T233V;TM-TBM;;
T232V;TM-TBM;;
T231V;TM-TBM;;
TBME;TM-TBM;;
TBM;TM-4-TS/F;;
T268V;TBM-TS;;
TTM;TBM/F-1-TS/F;;
T378V;TBM-TS;;
TAX;TBM/F-2-TS/F;;
TLU;TBM/F-55-TK W;;
TK  W;;TLU-10;TLU-10
