RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
TK  N;;TK O-85-TLU Westgl;TK O-85-TLU Westgl
TK  W;TK N-82-TLU;;
TLU;TK W-85-TBM/F;;
TAX;TS/F-5-TBM/F;;
T378V;TS-TBM;;
TTM;TS/F-4/9H-TBM/F;;
T268V;TS-TBM;;
TBM;TS/F-7-TM;;
TBME;TBM-TM;;
T231V;TBM-TM;;
T232V;TBM-TM;;
T233V;TBM-TM;;
T234V;TBM-TM;;
TSA;TBM-4-TM;;
T252V;TBM-TM;;
T251V;TBM-TM;;
TSER;TBM-TM;;
YTTSE;TBM-TV;;
TAIB;TBM-TM;;
TV;TBM-8-TM;;
TIL;TBM-TM;;
T419M;TBM-TM;;
T421M;TBM-TM;;
T414M;TBM-TM;;
T416M;TBM-TM;;
T423M;TBM-TM;;
T425M;TBM-TM;;
T418M;TBM-TM;;
T420M;TBM-TM;;
TMRO;TBM-TM;;
TM;TBM-2/71-RK;;
TM  S;TBM-71-RK;;
TEZ;TM-RK;;
T604M;TM-RK;;
T614M;TM-RK;;
T603M;TM-RK;;
TNF;TM-RK;;
TEB;TM-RK;;
T602M;TM-RK;;
T611M;TM-RK;;
T601M;TM-RK;;
TPH;TM-4-RK 6;;
T552M;TM-RK;;
TIP;TM-RK;;
T551M;TM-RK;;
TERS;TM-RK;;
T544P;TM-RK;;
T542M;TM-RK;;
TERW;TM-RK;;
T543M;TM-RK;;
T541M;TM-RK;;
TBIL;TM-RK;;
T532M;TM-RK;;
T531M;TM-RK;;
TKB;TM-RK;;
TWL;TM-P402-RK;;
RKBA;TWL-RK;;
R 46K;TWL-RK;;
RSLA;TWL-RK;;
R 45K;TWL-RK;;
RSL;TWL-RK;;
RSLR;TWL-RK;;
RSLZ;TWL-RK;;
R 42K;TWL-RK;;
R 41K;TWL-RK;;
RGZ;TWL-P 3-RK;;
RKDU;TWL-N 2-RKR;;
RKR;;RKDUs-107/407-RKW;RKDUs-107/407-RKW
