RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
TK  N;TK O-86-TLU;;
TLU;TK N-1-TBM/F;;
TAX;TS/F-5-TBM/F;;
T378V;TS-TBM;;
TTM;TS/F-4/9H-TBM/F;;
T268V;TS-TBM;;
TBM;TS/F-10-TH;;
T293H;TBM-TH;;
T294H;TBM-TH;;
TBE;TBM-TH;;
TBEA;TBM-1-TH*1;;
TWH;TBM-1-TH;;
TKMA;TBM-TH*1;;
TKM;TBM-TH;;
T298H;TBM-TH;;
T299H;TBM-TH;;
TLN;TBM-2-TH;;
T 51H;TBM-TH;;
T 52H;TBM-TH;;
TNO;TBM-TH;;
T 53H;TBM-TH;;
T 54H;TBM-TH;;
TH  K;TBM-240-TH;;
TH  S;TBM-140-TH;;
TH  G;TBM-40-TH;;
TH;TBM-3-TO;;
THST;TH-TO;;
T 13H;TH-TO;;
T 14H;TH-TO;;
TN;TH-1-TO;;
T 18O;TH-TO;;
T 17O;TH-TO;;
TBK;TH-TO;;
TBKA;TH-TO;;
TBFS;TH-TO;;
TBF;TH-5-RNZ 6;;
TBF S;TBF - RH;;
ROU;TBF-RNZ;;
R102E;TBF-RNZ;;
R101E;TBF-RNZ;;
RGUN;TBF-P 1-RNZ;;
RHAS;TBF-RNZ;;
RNEZ;TBF-P 21-RNZ;;
RNZ;TBF-P 3-RH;;
RBIN;RNZ-RH;;
R118E;RNZ-RH;;
R117E;RNZ-RH;;
RNA;RNZ-RH;;
RZW;RNZ-P101-RH;;
RLID;RNZ-RH;;
R116E;RNZ-RH;;
R115E;RNZ-RH;;
REA;RNZ-P 3-RH;;
RQHO;RNZ-RH;;
RHO;RNZ-P 2-RH;;
RNH;RNZ-RH;;
R 11H;RNZ-RH;;
RNT;RNZ-RH;;
R 12H;RNZ-RH;;
RQNM;RNZ-RH;;
RNMA;RNZ-RH;;
RNM;RNZ-P 1-RH;;
R686H;RNZ-RH;;
R685H;RNZ-RH;;
RHBO;RNZ-RH;;
R684H;RNZ-RH;;
R683H;RNZ-RH;;
RSR;RNZ-RH;;
RHKA;RNZ-P201-RH;;
R3044;RNZ-RH;;
R3045;RNZ-RH;;
RHBF;RNZ-ZU1-RH;;
RH;RNZ-ZV 1-RM;;
R1286;RH-RM;;
R1289;RH-RM;;
R1287;RH-RM;;
RHBP;RH-RM;;
RHBW;RH-RM;;
R958H;RH-RM;;
R957H;RH-RM;;
R956H;RH-RM;;
R955H;RH-RM;;
RMFS;RH-RM;;
RMFE;RH-RMR;;
RMR M;RH-500/101-RM;;
