RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
TU  R;;512-TP fDf;512-TP fDf
TU  N;TU R-TP FD;;
T346G;TU-TP;;
T347G;TU-TP;;
TUOE;TU-TP;;
T342G;TU-TP;;
T336G;TU-TP;;
T337G;TU-TP;;
T343G;TU-TP;;
T334G;TU-TP;;
T340G;TU-TP;;
T335G;TU-TP;;
T341G;TU-TP;;
TBS;TU-1-TP;;
T330G;TU-TP;;
T333G;TU-TP;;
T331G;TU-TP;;
TWSH;TU-TP;;
TWS;TU-2-TP;;
T208G;TU-TP;;
T219G;TU-TP;;
T209G;TU-TP;;
TLON;TU-TP;;
T206G;TU-TP;;
T217G;TU-TP;;
T207G;TU-TP;;
TURS;TU-TP;;
T204G;TU-TP;;
T215G;TU-TP;;
T205G;TU-TP;;
TAM;TU-1-TP;;
T202G;TU-TP;;
T212G;TU-TP;;
T213G;TU-TP;;
T203G;TU-TP;;
T200G;TU-TP;;
T210G;TU-TP;;
T211G;TU-TP;;
T201G;TU-TP;;
TG;TU-4-TP;;
TGW;TU-103-TP;;
TKUC;TU-TP;;
T194P;TU-TP;;
T195P;TU-TP;;
TGIS;TU-TP;;
TGI;TU-TP;;
T180P;TU-TP;;
T181P;TU-TP;;
TSD;TU-4-TP;;
T174P;TU-TP;;
T177P;TU-TP;;
T175P;TU-TP;;
TSAL;TU-TP;;
T170P;TU-TP;;
T172P;TU-TP;;
T173P;TU-TP;;
T171P;TU-TP;;
TEF;TU-3-TP;;
T160P;TU-TP;;
T163P;TU-TP;;
T161P;TU-TP;;
TGO;TU-4-TP;;
T154P;TU-TP;;
T156P;TU-TP;;
T157P;TU-TP;;
T155P;TU-TP;;
TFAU;TU-TP;;
T150P;TU-TP;;
T152P;TU-TP;;
T153P;TU-TP;;
T151P;TU-TP;;
TUH;TU-2-TP;;
T142P;TU-TP;;
T140P;TU-TP;;
T141P;TU-TP;;
T143P;TU-TP;;
TEC;TU-2-TP;;
T132P;TU-TP;;
T130P;TU-TP;;
T133P;TU-TP;;
T131P;TU-TP;;
T264P;TU-TP*1;;
T262P;TU-TP*1;;
T291P;TU-TP*1;;
T293P;TU-TP*1;;
TRF;TU-TP;;
T244P;TU-TP*1;;
T242P;TU-TP*2;;
T127P;TU-TP*1;;
T125P;TU-TP*1;;
T120P;TU-TP;;
T121P;TU-TP;;
T123P;TU-TP;;
T119P;TU-TP;;
T117P;TU-TP;;
TP;TU-2/1-TS/F;;
TACHF;TP/F-TS/F;;
T110F;TP/F-TS/F;;
T109F;TP/F-TS/F;;
T108F;TP/F-TS/F;;
TEZLF;TP/F-TS/F;;
T107F;TP/F-TS/F;;
T106F;TP/F-TS/F;;
T105F;TP/F-TS/F;;
T104F;TP/F-TS/F;;
T103F;TP/F-TS/F;;
TOESF;TP/F-TS/F;;
T102F;TP/F-TS/F;;
T101F;TP/F-TS/F;;
TE;TP/F-3-TS/F;;
T 50F;TP-TS;;
TEMEF;TP/F-TS/F;;
T 51F;TP-TS;;
TSOM;TP/F-2-TS/F;;
TSU P;TP-003/3-TSU;;
TSU;Pbf-203-TSM;;
TSEB;TSU-TKH;;
T413S;TSU-TSZA;;
T414S;TSU-TSZA;;
TSM;TSU-1-TKH;;
TSZAH;TSU-TKH;;
TSZA;TSU-657-TK O;;
TK  O;;TSU-309-TK N;TSU-309-TK N
