RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
TU  R;;507-11-TU;507-11-TU
TU;Rbf-11-R-MA;;
TQUR;TU-MA;;
MNM;TU-4-MA;;
M170U;TU-MNFG;;
M169U;TU-MNFG;;
M168U;TU-MNFG;;
M167U;TU-MNFG;;
M166U;TU-MNFG;;
M165U;TU-MNFG;;
MNSG;TU-1-MNFG;;
MUFH;TU-3-MNFG;;
M162U;TU-MNFG;;
M161U;TU-MNFG;;
M160U;TU-MNFG;;
M159U;TU-MNFG;;
MLEH;TU-MNFG;;
M158U;TU-MNFG;;
M157U;TU-MNFG;;
M156U;TU-MNFG;;
M155U;TU-MNFG;;
MGZB;TU-2-MNFG;;
M154U;MGZB-MNFG;;
M153U;MGZB-MNFG;;
M152U;MGZB-MNFG;;
M151U;MGZB-MNFG;;
MNFG;TU-5-MA;;
YKMNO;MNFG-MDKS;;
MOFF;TU-2-MA;;
M  20;TU-MA;;
M  21;TU-MA;;
M  18;TU-MA;;
M  19;TU-MA;;
MMAH;TU-MA;;
M  17;TU-MA;;
M  16;TU-MA;;
M  15;TU-MA;;
MBGU;TU-1-MA;;
M  14;TU-MA;;
M  13;TU-MA;;
MJET;TU-MA;;
M  12;TU-MA;;
M  11;TU-MA;;
MFHU;TU-1-MA;;
MFHD;TU-MA;;
M   6;TU-MA;;
M   5;TU-MA;;
M   4;TU-MA;;
M  3B;TU-MA;;
M  2B;TU-MA;;
M  1A;TU-MA;;
MDKS;TU-4-MA;;
M 124;TU-MA;;
M 125;TU-MA;;
M 122;TU-MA;;
M 123;TU-MA;;
M120A;TU-MA;;
M 121;TU-MA;;
M118A;TU-MA;;
MKUN;TU-MA;;
M119A;TU-MA;;
MGHN;MNFG-2-MA;;
M114A;TU-MA;;
M 115;TU-MA;;
M112A;TU-MA;;
MDID;TU-MA;;
M113A;TU-MA;;
M110A;TU-MA;;
M111A;TU-MA;;
MWHS;TU-2-MA;;
MNES;TU-MA;;
MAHI;MDKS-2-MA;;
MAOB;MAHI-2-MA(5302-2);;
MA;TU(FB)-4/616-MOL 10;;
MAHA;MA-MOL;;
M448A;MA-MOL;;
M449A;MA-MOL;;
M 446;MA-MOL;;
M 447;MA-MOL;;
MAHZH;MA-MOL;;
M444B;MA-MOL;;
M 445;MA-MOL;;
M442;MA-MOL;;
M443;MA-MOL;;
M440;MA-MOL;;
M441;MA-MOL;;
MKIS;MA-1201-MOL;;
M436;MA-MOL;;
M437;MA-MOL;;
M434A;MA-MOL;;
MSAF;MA-MOL;;
M435A;MA-MOL;;
MMR;MA-1304-MP;;
M 432;MA-MOL;;
M 433;MA-MOL;;
M 430;MA-MOL;;
M 431;MA-MOL;;
M 429;MA-MOL;;
M 428;MA-MOL;;
M 427;MA-MOL;;
MAHB;MA-MOL;;
M 426;MA-MOL;;
M 425;MA-MOL;;
M 424;MA-MOL;;
M 423;MA-MOL;;
MHMR;MA-MOL;;
M 422;MA-MOL;;
M421A;MA-MOL;;
M420A;MA-MOL;;
M419A;MA-MOL;;
M 418;MA-MOL;;
M417A;MA-MOL;;
M416A;MA-MOL;;
M415A;MA-MOL;;
MMAM;MA-5-MP;;
M414B;MA-MOL;;
M 413;MA-MOL;;
M412A;MA-MOL;;
M 411;MA-MOL;;
MMA A;MA-4-MOL;;
M408A;MA-MOL;;
M407A;MA-MOL;;
M 406;MA-MOL;;
M 404;MA-MOL;;
M 405;MA-MOL;;
M 402;MA-MOL;;
M 403;MA-MOL;;
MOL;MA(5581)-3-MN  L;;
M503A;MOL-MMBH;;
YMMOL;MOL-MMBH;;
M 502;MOL-MMBH;;
MN  F;MOL-MN  M;;
MN  M;;MN  F-MN  S;MN  F-MN  S
