RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
RMF;;RWE-N 3-RH;RWE-N 3-RH
R855H;RWE-RH;;
R856H;RWE-RH;;
RHBW;RWE-RH;;
RHBP;RM-RH;;
R1287;RM-RH;;
R1289;RM-RH;;
R1286;RM-RH;;
RH;RM-R7/ZS7-RK Z6/Z8;;
RHKM;RH-N101-RBR;;
R3311;RH-RBR;;
R3310;RH-RBR;;
R3312;RH-RBR;;
RSIG;RH-RBR;;
R3313;RH-RBR;;
R3319;RH-RBR;;
R3314;RH-RBR;;
R3318;RH-RBR;;
R3315;RH-RBR;;
R3316;RH-RBR;;
RWS;RH-N 2-RBR;;
R3317;RH-RBR;;
R3420;RH-RBR;;
RRM;RH-201-RBR;;
R3421;RH-RBR;;
R3429;RH-RBR;;
RBSK;RH-RBR;;
R3423;RH-RBR;;
R3422;RH-RBR;;
RBS;RH-N 2-RBR;;
R319H;RH-RBR;;
R320H;RH-RBR;;
RUW;RH-RBR;;
RUWA;RH-RBR;;
RBRR;RH-RBR;;
RBR;RH-N 4-RK 14;;
R3761;RBR-RK;;
RBRZ;RBR-RK;;
R3760;RBR-RK;;
R3763;RBR-RK;;
R3769;RBR-RK;;
R3862;RBR-RK;;
R3868;RBR-RK;;
RURB;RBR-RK;;
R3865;RBR-RK;;
R3864;RBR-RK;;
R3867;RBR-RK;;
R3866;RBR-RK;;
RWGT;RBR-302-RK;;
R3871;RBR-RK;;
R3870;RBR-RK;;
R3879;RBR-RK;;
R3873;RBR-RK;;
R3872;RBR-RK;;
R3878;RBR-RK;;
R3875;RBR-RK;;
R3874;RBR-RK;;
RKDU;RBR-N 6-RKR;;
RKR;;RKDUn-107/407-RBRU;RKDUn-107/407-RBRU
