RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
EOB O;EOB N-EEEDZ;;
E662X;EOB O-EEDZ;;
E 663;EOB O-EEDZ;;
E 664;EOB-EEDZ;;
E665Y;EOB-EEDZ;;
EEDZ;EOB(2277)-EBTS(2243);;
EPRL;EEDZ-EKKR;;
EKKR;EPRL-EBTS;;
EGED;EPRL-EBTS;;
EBTS;EGED-2-EEKP;;
E9268;EBTS-ENON;;
EEKP;EBTS-ENON;;
E9269;EBTS-ENON;;
E9266;EBTS-ENON;;
E9267;EBTS-ENON;;
ENON;EBTS-EGBK;;
EGBK;ENON-101-EGZO;;
EGZO;EGBK-001-EWFR;;
EWFR;EGZO-ECRA;;
ECRA;EWFR-EBAU;;
EBAU;ECRA(2207)-ERES(2200);;
ERES;EWAN-2-ERE;;
E8413;EWAN-ERE;;
E8414;EWAN-ERE;;
E8415;EWAN-ERE;;
E8416;EWAN-ERE;;
ERE;EWAN-2-EHLT;;
E8419;ERE-EHLT;;
E8418;ERE-EHLT;;
EMSI;ERE-1-EHLT;;
E8127;ERE-EHLT;;
E8128;ERE-EHLT;;
ELPE;ERE-EHLT;;
E923H;ERE-EHLT;;
E924L;ERE-EHLT;;
EHLT;ERE-3-EDUL;;
E931S;EHLT-EDUL;;
E932H;EHLT-EDUL;;
E933S;EHLT-EDUL;;
E934H;EHLT-EDUL;;
E935S;EHLT-EDUL;;
E937S;EHLT-EDUL;;
ESYH;EHLT-EDUL;;
E936S;EHLT-EDUL;;
ESYB;EHLT-1-EDUL;;
E941D;EHLT-EDUL;;
E942Y;EHLT-EDUL;;
E943D;EHLT-EDUL;;
E944Y;EHLT-EDUL;;
EDUL;EHLT-2-EMST;;
E951B;EDUL-EMST;;
E952D;EDUL-EMST;;
E953B;EDUL-EMST;;
E954D;EDUL-EMST;;
E956D;EDUL-EMST;;
E955B;EDUL-EMST;;
E957B;EDUL-EMST;;
EBUD;EDUL-EMST;;
E958B;EDUL-EMST;;
E960B;EDUL-EMST;;
E959A;EDUL-EMST;;
E961A;EDUL-EMST;;
E962B;EDUL-EMST;;
E964B;EDUL-EMST;;
EAPH;EDUL-2-EMST;;
EBSL;EDUL-1-EMST;;
E 831;EDUL-EMST;;
E 832;EDUL-EMST;;
E 833;EDUL-EMST;;
EABT;EDUL-EMST;;
E 834;EDUL-EMST;;
E 835;EDUL-EMST;;
EMEK;EDUL(2200)-701-EMST(2200);;
EGST;EDUL(2200)-193-EMST(2200);;
EMSTG;EHLT(2200)-123-ELEN(2200);;
EMSTP;EHLT(2200)-12-ELEN(2200);;
E 905;EMST-ELEN;;
E 904;EMST-ELEN;;
E 907;EMST-ELEN;;
E 906;EMST-ELEN;;
ESDM;EMST(2200)-923-ELEN(2200);;
E 935;EMST-ELEN;;
E938E;EMST-ELEN;;
E 937;EMST-ELEN;;
EEMS;EMST-953-ELEN;;
E532M;EMST-ELEN;;
EWBV;EMST-ELEN;;
E545L;EMST-ELEN;;
E 801;EMST-ELEN;;
E 802;EMST-ELEN;;
EBRO;EMST-435-401-ELEN;;
E 821;EMST-ELEN;;
E822B;EMST-ELEN;;
EKV;EMST-301-ELEN;;
ERIG;EMST-203-ELEN;;
E901L;EMST-ELEN;;
E902L;EMST-ELEN;;
E903L;EMST-ELEN;;
E904L;EMST-ELEN;;
ELEN;EMST-3-HO;;
E 921;ELEN-HO;;
E 922;ELEN-HO;;
E923L;ELEN-HO;;
E924H;ELEN-HO;;
YEHLH;ELEN-HO;;
H925N;ELEN-HNAH;;
H926N;ELEN-HNAH;;
HQNA;ELEN-HNAH;;
HNAH;ELEN-HHSB;;
H01NH;HNAH-HHSB;;
H02NH;HNAH-HHSB;;
HHSB;HNAH-2-HHRN;;
H21HH;HHSB-HHRN;;
H22HH;HHSB-HHRN;;
H23HH;HHSB-HHRN;;
H24HH;HHSB-HHRN;;
HHRN;HHSB(2200-1)-03-HO O(2200-1);;
HO  O;HHRN(2200-1)-3-HO S(2200-1);;
HO  S;HO O(2200-1)-23-HO N(2200-1);;
HO  N;;HO S(2200-1)-83-HDIP(2200-1);HO S(2200-1)-83-HDIP(2200-1)
