RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
EMAF;EWAZ-172-SBK112;;
E112O;EMAF-E111O;;
E111O;E112O-ERTL;;
ERTL;E111O-E 6O;;
E 6O;ERTL-E 5O;;
E 5O;E 6O-ELOT;;
ELOT;E 5O-EDWDW;;
EDWD;ELOT-4-EDBI(2324);;
EDBI;EDWD-4-KDR;;
EDEF;EDWD-24-KDR;;
E0402;EDWD-KDR;;
E0303;EDWD-KDR;;
E0304;EDWD-KDR;;
ELIT;EDWD-2-KDR;;
ETIE;EDWD-KDR;;
KRAW;EDWD-3-KDR;;
KDR;KRAW-3-KHAR;;
K 351;KDR-KHAR;;
K 352;K 351-KHAR;;
KHAR;KDR-KDE;;
K 383;KDR-KDE;;
KDE;KHAR-444-KK483;;
K 483;KDE-K 474;;
K 474;K 483-KHI;;
KHI;KDE(2324)-4-KOPL;;
K 491;KHI-K 492;;
K 492;K 491-KIMI;;
KIMI;KHI-1-KOPL;;
K 493;KIMI-K 494;;
K 494;K 493-KOPL;;
KOPL;KHI-39-KWER;;
KWER;KIMI-KLM;;
KLM;KOPL-303-KKANE;;
K011K;KOPL-KKANE;;
K022L;KOPL-KKANE;;
K001K;KOPL-KKANE;;
K002D;KOPL-KKANE;;
K003K;KOPL-KKANE;;
K004D;KOPL-KKANE;;
KKANE;KOPL-3-KKANM;;
KKANO;KKANE-7-KKANN;;
KKANN;;KKANE-7KKANN;KKANE-7KKANN
