RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
KKANO;;KKANS-14-KKANE;KKANS-14-KKANE
KKANE;KKAN-3-KOPL;;
K004D;KKANE-KOPL;;
K003K;KKANE-KOPL;;
K002D;KKANE-KOPL;;
K001K;KKANE-KOPL;;
K022L;KKANE-KOPL;;
K011K;KKANE-KOPL;;
KLM;KKANE-304-KOPL;;
KWER;KLM-KIMI;;
KOPL;KWER-38-KHI;;
K 494;KOPL-K 493;;
K 493;K 494-KIMI;;
KIMI;KOPL-2-KHI;;
K 492;KIMI-K 491;;
K 491;K 492-KHI;;
KHI;KOPL-5-KDE(2324);;
K 474;KHI-K 483;;
K 483;KHI-KDE;;
KDE;KK474-445-KHAR;;
K 383;KDE-KDR;;
KHAR;KDE-KDR;;
K 352;KHAR-KDR;;
K 351;K 352-KDR;;
KDR;KHAR-4-KRAW;;
KRAW;KDR-2-EDWD;;
ETIE;KDR-EDWD;;
ELIT;KDR-1-EDWD;;
E0304;KDR-EDWD;;
E0303;KDR-EDWD;;
E0402;KDR-EDWD;;
EDEF;KDR-23-EDWD;;
EDBI;EDBI-3-EDWD;;
EDWD;EDBI(2324)-3-ELOT;;
ELOT;EDWDW-SBK 5;;
E 5O;ELOT-E 6O;;
E 6O;E 5O-ERTL;;
ERTL;E 6O-E111O;;
E111O;ERTL-E112O;;
E112O;E111O-EMAF;;
EMAF;E112O-EOBRO;;
