RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
EHRBS;;EHRBR-560-437-EHRBW;EHRBR-560-437-EHRBW
EHRBW;EHRBS-437-ELUS;;
EHRI;EHRBW-ELUS;;
EPK;EHRB-2-ELUS (D1);;
E7542;EHRB-ELUS;;
E7541;EHRB-ELUS;;
EBKM;EHRB-2-ELUS;;
E6550;EHRB-ELUS;;
E6551;EHRB-ELUS;;
EOD;EHRB-202-ELUS;;
EHOR;EHRB-252-ELUS;;
ELUS;EHRB-02-ERHO;;
E2534;ELUS-ERHO;;
E2533;ELUS-ERHO;;
E0528;ELUS-ERHO;;
E0527;ELUS-ERHO;;
E0526;ELUS-ERHO;;
E0525;ELUS-ERHO;;
EDAT;ELUS-2-ERHO;;
E8522;ELUS-ERHO;;
E8521;ELUS-ERHO;;
ERHO;ELUS-2-EGBW;;
EBLT;ERHO-EWSH;;
E6510;ERHO-EWSH;;
E6515;ERHO-EWSH;;
E4508;ERHO-EWSH;;
E4513;ERHO-EWSH;;
EWSH;ERHO-503-EGBN;;
EGBN;EWSH-2-EGBW;;
E908G;EGBN-EGBW;;
E907W;EGBN-EGBW;;
EGBW;EGBN-2-EBTH;;
E48 6;EGBW-EBTH;;
E48 5;EGBW-EBTH;;
E48 4;EGBW-EBTH;;
E48 3;EGBW-EBTH;;
EBTB;EGBW-EBTH;;
E48 2;EGBW-EBTH;;
E48 1;EGBW-EBTH;;
EBTHG;EGBW-3-EBTHP;;
EBTHP;EBTHG/P-104-EOS T;;
EOS T;EBTHP-EOS U;;
EOS U;EOS T-EOS E;;
EOS E;EOS U-EWAZ;;
EWAZ;EOS E-EOBRO;;
EOBRO;EWAZ-67-EOBRM;;
EOBRM;;EOBRO67-EOBRW45;EOBRO67-EOBRW45
