RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
EOBRM;;OBRW46-OBRO67;OBRW46-OBRO67
EOBRO;OBRM67-EWAZ;;
EWAZ;EOBRO-EOS E;;
EOS E;EWAZ-EOS U;;
EOS U;EOS E-EOS T;;
EOS T;EOS U-EBTHP;;
EBTHP;EOS T-105-EBTHG/P;;
EBTHG;EBTHP-4-EGBW;;
E48 1;EBTH-EGBW;;
E48 2;EBTH-EGBW;;
EBTB;EBTH-EGBW;;
E48 3;EBTH-EGBW;;
E48 4;EBTH-EGBW;;
E48 5;EBTH-EGBW;;
E48 6;EBTH-EGBW;;
EGBW;EBTH-1-EGBN;;
E907W;EGBW-EGBN;;
E908G;EGBW-EGBN;;
EGBN;EGBW-1-EWSH;;
EWSH;EGBN-501-ERHO;;
E4513;EWSH-ERHO;;
E4508;EWSH-ERHO;;
E6515;EWSH-ERHO;;
E6510;EWSH-ERHO;;
EBLT;EWSH-ERHO;;
ERHO;EGBW-1-ELUS;;
E8521;ERHO-ELUS;;
E8522;ERHO-ELUS;;
EDAT;ERHO-1-ELUS;;
E0525;ERHO-ELUS;;
E0526;ERHO-ELUS;;
E0527;ERHO-ELUS;;
E0528;ERHO-ELUS;;
E2533;ERHO-ELUS;;
E2534;ERHO-ELUS;;
ELUS;ERHO-01-EHRB;;
EHOR;ELUS-251-EHRB;;
EOD;ELUS-201-EHRB;;
E6551;ELUS-EHRB;;
E6550;ELUS-EHRB;;
EBKM;ELUS-1-EHRB ( D1);;
E7541;ELUS-EHRB;;
E7542;ELUS-EHRB;;
EPK;ELUS-1-EHRB;;
EHRI;ELUS-EHRBW;;
EHRBW;ELUS-440-EHRBS;;
EHRBS;;EHRBW-440-560-EHRBR(7457);EHRBW-440-560-EHRBR(7457)
