RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
EXEM;XNZV-EEM;;
E3368;EXEM-EEM;;
E3366;EXEM-EEM;;
E3363;EXEM-EEM;;
E3364;EXEM-EEM;;
E3361;EXEM-EEM;;
E3362;EXEM-EEM;;
E3359;EXEM-EEM;;
EEM;EXEM-2-EWES;;
E3258;EEM-EWES;;
E3255;EEM-EWES;;
E3256;EEM-EWES;;
EPRA;EEM-EWES;;
E3051;EEM-EWES;;
E0147;EEM-EWES;;
EMIL;EEM-EWES;;
EEMP;EEM-1-EWES;;
E3046;EEM-EWES;;
EHAD;EEM-EWES;;
E2843;EEM-EWES;;
EMHO;EEM-101-EWES;;
E2834;EEM-EWES;;
E2835;EEM-EWES;;
E2630;EEM-EWES;;
E2631;EEM-EWES;;
EWFK;EEM-EWES;;
EWES;EEM-2-EOSD;;
E2625;EWES-EOSD;;
E2624;EWES-EOSD;;
E2623;EWES-EOSD;;
EFFD;EWES-EOSD;;
E2622;EWES-EOSD;;
E2621;EWES-EOSD;;
E6623;EWES-EOSD;;
E2620;EWES-EOSD;;
EVDU;EWES-EOSD;;
EVD;EWES-EOSD;;
EDIN;EWES-301-EOSD H1;;
E 656;EWES-EOSD;;
E 606;EWES-EOSD;;
E 657;EWES-EOSD;;
E 607;EWES-EOSD;;
EOHT;EWES-EOSD;;
EOSD;EWES-402-EOB;;
EOB N;EOSD-EOBRO;;
