RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
EHGV;EHGGO-505-EHGVF(2400-2);;
EHGVF;EHGV(2400)-EHGVS(2400);;
E565W;EHGVF-EHGVS;;
E566V;EHGVF-EHGVS;;
EHGVS;EHGVF-EWGO(2400);;
E991N;EHGVS-EWGO;;
E992N;EHGVS-EWGO;;
EWGO;EHGVS-102-EWIT;;
EWIH;EWGO-E 3;;
E002W;EHGVS-EWIT;;
E003H;KSWE-EWIT;;
EWIT;EWGO-05-5nord-ESTR;;
E 959;EWIT-ESTR;;
E 958;EWIT-ESTR;;
ESTR;EWIT-EBLAP;;
EBLAZ;ESTR-EBLAS;;
EBLAS;EWIT(2142)-2-EBNO(2151);;
EBLAG;EDO(2151)-EBNO(2151);;
EBLAI;EDO(2151)-2-EBNO(2151);;
EPVP;EBLAI-EBNO;;
EBNO;EPVP-3-EBPR(D1);;
E5201;EBNO-EBRI;;
YEEBP;EBNO-EBRI;;
E5002;EBNO-EBRI;;
EBRI;EBNO-2-EHEO;;
EBGZ;EBRI-EHEO;;
E5003;EBRI-EHEO;;
E5004;EBRI-EHEO;;
EHEO;EBGZ-EWANF;;
EWANF;EHEO(2202)-301-EWAM(2208);;
EWAN;EHER(2208)-07-EG(2650);;
E550I;EWAN-EG;;
E551I;EWAN-EG;;
E 421;EWAN-EG;;
E 422;EWAN-EG;;
EG;EWAN(2650)-05-EEAL;;
E104G;EG-EEAL;;
E 102;EG-EEAL;;
E 103;EG-EEAL;;
EEKB;EG-EEAL;;
E 100;EG-EEAL;;
E 101;EG-EEAL;;
EEAL;EG-2-EOB;;
EEBE;EEAL(2650)-102-EOB(2650);;
E 698;EEAL-EOB;;
EEDL;EEAL-EOB;;
EEDZ;EEAL(2650)-EOB(2277);;
E665Y;EEDZ-EOB;;
E 664;EEDZ-EOB;;
E 663;EEDZ-EOB;;
E662X;EEDZ-EOB;;
EOB O;E 663-EOB N;;
EOB N;EOB O-EOSD;;
