RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FGB;;FGL-219-FDTH;FGL-219-FDTH
FDTH;FGB-3-FWR_G;;
F299A;FDTH-1-FWR_G;;
F298A;FDTH-FWR_G;;
F297A;FDTH-FWR_G;;
F296A;FDTH-FWR_G;;
FWR G;FDTH-247-FWR;;
FWR;FWR_G-7-FAL;;
FAL;FWR-307-FEHR;;
F074A;FAL-FEHR;;
F073A;FAL-FEHR;;
FWDF;FAL-1-FSI;;
FEHR;FAL-1-FSI;;
F072A;FEHR-FSI;;
FKFT;FEHR-2-FSI;;
F071A;FEHR-FSI;;
FEDI;FEHR-2-FSI;;
FSI;FEHR-1-FHRB;;
FHRB;FSI-2-FDILS;;
FBUN;FHRB-2-FDILS;;
F062B;FHRB-FDILS;;
F061B;FHRB-FDILS;;
FNDS;FHRB-2-FDILS;;
FDILS;FHRB-104-FDIL;;
FDIL;FDILS-104-4-FHG;;
F058A;FDIL-FHG;;
F055A;FDIL-FHG;;
FSN;FDIL-2-FHG;;
F056A;FDIL-FHG;;
YDFHS;FDIL-FHG;;
FHG;FDIL-2-ESIG;;
FRB;FHG-ESIG;;
E054R;FHG-ESIG;;
E053H;FHG-ESIG;;
FDBT;FHG-ESIG;;
E051H;FHG-ESIG;;
E052R;FHG-ESIG;;
EQRU;FHG-ESIG;;
ERUD;FHG-902-ESIG;;
ENDI;FHG-801-ESIG;;
ESIS;FHG-ESIG;;
ESIG;;FHG-702-EKT;FHG-702-EKT
