RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
EHGV;;EHGVF-534-EHGK;EHGVF-534-EHGK
ERWH;EHGV-EHGK;;
EHGS;EHGV-EHGK;;
EHGK;EHGV-303-EFP;;
EHGH;EHG-402-EFP;;
E978;EHG-EFP;;
E981A;EHG-EFP;;
EBST;EHG-EFP;;
E980A;EHG-EFP;;
EHOG;EHG-002-042-EFP;;
ELE;EHG-143-103-EFP;;
ENCH;EHG-EFP;;
E989;EHG-EFP;;
E988;EHG-EFP;;
E991;EHG-EFP;;
E990;EHG-EFP;;
E992H;EHG-EFP;;
EALN;EHG-EFP;;
E993P;EHG-EFP;;
E995P;EHG-EFP;;
E994H;EHG-EFP;;
EMKE;EHG-EFP;;
E997P;EHG-EFP;;
EWHL;EHG-2-EFP;;
E1417;EHG-EFP;;
E1416;EHG-EFP;;
EPLT;EHG-832-802-EFP;;
E921A;EHG-EFP;;
E922A;EHG-EFP;;
E923F;EHG-EFP;;
E926P;EHG-EFP;;
E927F;EHG-EFP;;
E928P;EHG-EFP;;
EFP;EHG-2-EKT;;
E941G;EFP-EKT;;
E942F;EFP-EKT;;
EGVB;EFP-2-EKT;;
EMEG;EFP-101-EKT;;
EA;EFP-3-EKT;;
EKHU;EFP-ESIG;;
E29A;EFP-ESIG;;
E30A;EFP-ESIG;;
E31A;EFP-ESIG;;
E2332;EFP-ESIG;;
E2333;EFP-ESIG;;
E2335;EFP-ESIG;;
E2334;EFP-ESIG;;
EWSE;EFP-1-ESIG;;
E2336;EFP-ESIG;;
E2337;EFP-ESIG;;
ELTF;EFP-ESIG;;
E2338;EFP-ESIG;;
E2339;EFP-ESIG;;
E2340;EFP-ESIG;;
EEHS;EFP-ESIG;;
EKT;EFP-2-ESIG;;
EKT G;EFP-101-ESIG;;
EHTG;EFP-502-ESIG;;
ENHA;EFP-ESIG;;
ESW;EFP-601-ESIG;;
ESIG;;EKT-701-FHG;EKT-701-FHG
