RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
XNVL;;XNVL13-KKAK;XNVL13-KKAK
XNVLO;XNVL-KKAK;;
XN612;XNVL-KKAK;;
XN613;XNVL-KKAK;;
XN607;XNVL-KKAK;;
KXKK;XNVL-KKAK;;
KKAK;KXKK-2-KBRY;;
KBRY;2 KKAK -KBOI;;
KBOI;1 KBRY -K1158;;
K1158;KBOI -K1159;;
K1159;K1158 -KDUL;;
KDUL;K1159 -K1152;;
K1152;KKAK-KV;;
K1154;KKAK -KV;;
K1153;KKAK-KV;;
KV;KKAK-002-KM;;
KV  G;KKAK-130-KVH;;
KVH;KV-202-KM 12;;
K 302;KV-KM;;
K 303;KV-KM;;
KM;KV-1-KRY P 6;;
E 094;KM-KRY P;;
E493R;KM-KRY P;;
KRY P;KM-3-KGRB;;
KRYO;KRY P-7-KGRB;;
KHOK;KRY P-KGRB;;
K185G;KRY P-KGRB;;
K184G;KRY P-KGRB;;
K183H;KRY P-KGRB;;
K182H;KRY P-KGRB;;
KJUC;KRY P-KGRB;;
K181G;KRY P-KGRB;;
K180G;KRY P-KGRB;;
K179H;KRY P-KGRB;;
K178H;KRY P-KGRB;;
K176G;KRY P-KGRB;;
K177H;KRY P-KGRB;;
KGRB;KRYO-4-KKERG;;
KERW;KGRB-1-KKERG;;
K174R;KGRB-KKERG;;
K175G;KGRB-KKERG;;
KROM;KGRB-3-KKERG;;
K6204;KGRB-KKERG;;
K6202;KGRB-KKERG;;
KSOM;KGRB-KKERG;;
K6201;KGRB-KKERG;;
K6203;KGRB-KKERG;;
KPUL;KGRB-2-KKERG;;
K164K;KGRB-KKERG;;
K165K;KGRB-KKERG;;
K163P;KGRB-KKERG;;
KKERW;KGRB-KKERG(2612);;
KKERG;KGRB-5-KKERP;;
KKERP;KKERG-5-KKW F;;
KKW F;;KKERP-3-KKW S;KKERP-3-KKW S
