RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
KKW F;;KKW S-4-KKERP;KKW S-4-KKERP
KKERP;KKW F-6-KKERG;;
KKERG;KKERP-6-KGRB;;
KKERW;KKERG(2611)-KGRB;;
K163P;KKERG-KGRB;;
K165K;KKERG-KGRB;;
K164K;KKERG-KGRB;;
KPUL;KKERG-1-KGRB;;
K6203;KKERG-KGRB;;
K6201;KKERG-KGRB;;
KSOM;KKERG-KGRB;;
K6202;KKERG-KGRB;;
K6204;KKERG-KGRB;;
KROM;KKERG-1-KGRB;;
K175G;KKERG-KGRB;;
K174R;KKERG-KGRB;;
KERW;KKERG-2-KGRB;;
KGRB;KKERG-1-KRYO;;
K177H;KGRB-KRY P;;
K176G;KGRB-KRY P;;
K178H;KGRB-KRY P;;
K179H;KGRB-KRY P;;
K180G;KGRB-KRY P;;
K181G;KGRB-KRY P;;
KJUC;KGRB-KRY P;;
K182H;KGRB-KRY P;;
K183H;KGRB-KRY P;;
K184G;KGRB-KRY P;;
K185G;KGRB-KRY P;;
KHOK;KGRB-KRY P;;
KRYO;KGRB-6-KRY P;;
KRY P;KGRB-1-KM;;
E493R;KRY P-KM;;
E 094;KRY P-KM;;
KM;KRY P-2-KV 6;;
K 303;KM-KV;;
K 302;KM-KV;;
KVH;KM-201-KV;;
KV  G;KVH-131-KKAK 12;;
KV;KM-005-KKAK;;
K1153;KV-KKAK;;
K1154;KV-KKAK;;
K1152;KV -KKAK;;
KDUL;KV-KKAK;;
K1159;KDUL -K1158;;
K1158;K1159 -KBOI;;
KBOI;1 K1158 -KBRY;;
KBRY;2 KBOI -KKAK;;
KKAK;KBRY-3-KXKK;;
KXKK;KKAK-XNVL;;
XN607;KKAK-XNVL;;
XN613;KKAK-XNVL;;
XN612;KKAK-XNVL;;
XNVLO;KKAK-XNVL;;
XNVL;;KKAK-11XNVL;KKAK-11XNVL
