RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
KKOLM;;KKOLN-2-KKOL-2630;KKOLN-2-KKOL-2630
KKOL;KKOLM-2-KKO-2630;;
KKSM;KKOL-1-KKO;;
KKO;KKOL-4-KKOB-2630;;
K001A;KKO-KKOB;;
K002A;KKO-KKOB;;
KKOB;KKO-201-KRHE;;
K153A;KKOB-KRHE;;
K053A;KKOB-KRHE;;
K052E;KKOB-KRHE;;
K152A;KKOB-KRHE;;
K155A;KKOB-KRHE;;
K055D;KKOB-KRHE;;
K054A;KKOB-KRHE;;
K154A;KKOB-KRHE;;
KRHE;KKOB-2-KBOP;;
K161A;KRHE-KBOP;;
K061A;KRHE-KBOP;;
K060A;KRHE-KBOP;;
K160A;KRHE-KBOP;;
KSPA;KRHE-2-KBOP;;
K163A;KRHE-KBOP;;
K063A;KRHE-KBOP;;
K062A;KRHE-KBOP;;
K162A;KRHE-KBOP;;
K165A;KRHE-KBOP;;
K065A;KRHE-KBOP;;
K064A;KRHE-KBOP;;
K164A;KRHE-KBOP;;
K067A;KRHE-KBOP;;
K167A;KRHE-KBOP;;
K066A;KRHE-KBOP;;
K166A;KRHE-KBOP;;
K169A;KRHE-KBOP;;
K069A;KRHE-KBOP;;
K068A;KRHE-KBOP;;
K168A;KRHE-KBOP;;
KBOP;KRHE-2-FWER;;
K071D;KBOP-FWER;;
K070A;KBOP-FWER;;
K073B;KBOP-FWER;;
K072D;KBOP-FWER;;
KSAL;KBOP-1-FWER;;
K075A;KBOP-FWER;;
K074B;KBOP-FWER;;
K076A;KBOP-FWER;;
K077A;KBOP-FWER;;
K078A;KBOP-FWER;;
K079A;KBOP-FWER;;
KHIR;KBOP-1-FWER;;
F080A;KBOP-FWER;;
FWER;KBOP-302-FSGO;;
F018B;FWER-FSGO;;
FSGO;FWER-202-FURBN;;
FURBN;FSGO-1-FURBS;;
FURBS;FURBN-1-FOBW;;
F025A;FURBS-FOBW;;
F026A;FURBS-FOBW;;
FOBW;FURBS-1-FBCH;;
F001B;FOBW-FBCH;;
F002B;FOBW-FBCH;;
F003A;FOBW-FBCH;;
F004A;FOBW-FBCH;;
FBCH;FOBW-1-FNDH;;
FNDH;FBCH-401-FBGKV;;
F475A;FNDH-FBGKV;;
F476A;FNDH-FBGKV;;
F477A;FNDH-FBGKV;;
FTRE;FNDH-1-FBGKV;;
F478A;FNCH-FBGKV;;
F479B;FNDH-FBGKV;;
F480B;FNDH-FBGKV;;
FBGKV;FNDH-1-FBGK;;
FBGK;FBGKV-101-FBGN;;
FBGN;FBGK-301-FGAL;;
F001C;FBGN-FGAL;;
F002C;FBGN-FGAL;;
FBGG;FBGN-2-FGAL;;
F003B;FBGN-FGAL;;
F004B;FBGN-FGAL;;
F005A;FBGN-FGAL;;
F006A;FBGN-FGAL;;
FGAL;FBGN-3-FIL;;
FIL;FGAL-4-FUR;;
F009C;FIL-FUR;;
F010C;FIL-FUR;;
F011B;FIL-FUR;;
F012B;FIL-FUR;;
F013A;FIL-FUR;;
F014A;FIL-FUR;;
FHEI;FIL-1-FUR;;
F015A;FIL-FUR;;
F016A;FIL-FUR;;
FUR;FIL-1-FBUD;;
F017B;FUR-FBUD;;
F840A;FUR-FBUD;;
FBUD;FUR-802-FMM;;
F639A;FBUD-FMM;;
F640A;FBUD-FMM;;
FMM;;FBUD-603-FKBWO;FBUD-603-FKBWO
