RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FKR;;FKRB-351-FKW;FKRB-351-FKW
FKR S;FKR-2-FKW;;
FKW;FKR_S-502-602-FKOA-3913/1733;;
FKOA;FKW-682-FKEI-1733;;
FKEI;FKOA-FSWR;;
FSWR;FKEI-FKOT;;
FKOT;FSWR-802-FKAS;;
F103E;FKOT-FWIL;;
F133A;FKOT-FWIL;;
F134A;FKOT-FWIL;;
F104A;FKOT-FWIL;;
FWIL;FKAS-FLIR;;
FLIR;FWIL-241-FMBA;;
F259A;FLIR-FMBA;;
F289A;FLIR-FMBA;;
F290B;FLIR-FMBA;;
F260B;FLIR-FMBA;;
FMBA;FLIR-FKHM;;
FKHM;FMBA-41-FHAH;;
FHAH;FKHM-FRIH;;
FRIH;FHAH-FLSW;;
FLSW;FRIH-631-FMIR;;
FMIR;FLSW-FDIE;;
FDIE;FMIR-FFU_N;;
F022A;FLSW-FFU_N;;
F052D;FLSW-FFU_N;;
FFU N;FDIE-FFU-1733;;
FFU;FFU_N-4-FFU_B-1733;;
FFU B;FFU-FHAG-1733;;
FHAG;FFU_B-FLRN;;
FLRN;FHAG-FLRS;;
FLRS;FLRN-NMOT;;
YFNLM;FLRS-NMOT;;
NMOT;FFU-103-NWH;;
NAG;FFU-NWH;;
NQMO;FFU-NWH;;
NDI;FFU-NWH;;
NBNB;FFU-404-NWH;;
NMUB;FFU-NWH;;
NRB;FFU-2-NWH;;
NHW;FFU-NWH;;
NES;FFU-NWH;;
NNB;FFU-NWH;;
N 898;FFU-NWH;;
N 848;FFU-NWH;;
NWH;;FFU-204-NAN 6;FFU-204-NAN 6
