RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FKW;;FKWNB-502-605-FKOA-1733/3900;FKWNB-502-605-FKOA-1733/3900
FKOA;FKW-2-FGTH;;
FKOZ;FKOA-2-FGTH;;
F690A;FKOA-FGTH;;
F699A;FKOA-FGTH;;
F680A;FKOA-FGTH;;
F678B;FKOA-FGTH;;
F679A;FKOA-FGTH;;
F676A;FKOA-FGTH;;
FREH;FKOA-2-FGTH;;
F681A;FKOA-2-FGTH;;
F675A;FKOA-FGTH;;
F672A;FKOA-FGTH;;
F673A;FKOA-FGTH;;
FGTH;FKOA-2-FKRL-7-D1;;
F222C;FGTH-FKRL;;
F122C;FGTH-FKRL;;
F223C;FGTH-FKRL;;
F123A;FGTH-FKRL;;
F220A;FGTH-FKRL;;
F121B;FGTH-FKRL;;
FGX;FGTH-2-FKRL;;
F218A;FGTH-FKRL;;
F119A;FGTH-FKRL;;
F116A;FGTH-FKRL;;
F216B;FGTH-FKRL;;
F215A;FGTH-FKRL;;
F115A;FGTH-FKRL;;
FKRL;FGTH-1-1F/H1-FMLS;;
F208D;FKRL-FMLS;;
FRFHW;FKRL-2-FMLS;;
F206D;FKRL-FMLS;;
F107D;FKRL-FMLS;;
FRFH;FKRL-FMLS;;
F204C;FKRL-FMLS;;
F105E;FKRL-FMLS;;
F202F;FKRL-FMLS;;
FMBB;FKRL-1-FMLS;;
FMLS;FKRL-1-FBEF;;
FMFH;FMLS-2-FBEF;;
FBEF;FMLS-302-FBU;;
FAMO;FKOA-2-FBU;;
FHEB;FKOA-2-FBU;;
F972A;FKOA-FBU;;
F971A;FKOA-FBU;;
F970A;FKOA-FBU;;
F969A;FKOA-FBU;;
FROF;FKOA-2-FBU;;
FLIH;FKOA-2-FBU;;
FBU;FKOA-402-FB;;
FB;FBU-41-FB__R-4-6340/3805;;
FB  R;;FB-52-FLAE-3805;FB-52-FLAE-3805
