RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FGB;;FG-202-FGL;FG-202-FGL
FGL;FGB-2-FLGS;;
F005C;FGL-FLGS;;
F006D;FGL-FLGS;;
F007C;FGL-FLGS;;
FLGS;FGB-1-FBZ;;
F009G;FLGS-FBZ;;
F010G;FLGS-FBZ;;
F011E;FLGS-FBZ;;
FKGS;FLGS-1-FBZ;;
F012D;FLGS-FBZ;;
F013D;FLGS-FBZ;;
F014D;FLGS-FBZ;;
F015D;FLGS-FBZ;;
F016C;FLGS-FBZ;;
F017C;FLGS-FBZ;;
F018C;FLGS-FBZ;;
FBZ;FLGS-2-FBNA;;
F019A;FBZ-FBNA;;
F020A;FBZ-FBNA;;
F021C;FBZ-FBNA;;
F022E;FBZ-FBNA;;
FOM;FBZ-FBNA;;
F023D;FBZ-FBNA;;
F024C;FBZ-FBNA;;
F025C;FBZ-FBNA;;
F027E;FBZ-FBNA;;
F029D;FBZ-FBNA;;
F026D;FBZ-FBNA;;
F028E;FBZ-FBNA;;
F030D;FBZ-FBNA;;
F031E;FBZ-FBNA;;
F033E;FBZ-FBNA;;
F032E;FBZ-FBNA;;
F034F;FBZ-FBNA;;
FBNA;FBZ-1-FFG;;
F035E;FBNA-FFG;;
F037D;FBNA-FFG;;
F036F;FBNA-FFG;;
FFG;FBNA-2-FNRW;;
FFG G;FFG-202-FNRW;;
FBB;FFG-FNRW;;
F039D;FFG_G-FNRW;;
F038D;FFG_G-FNRW;;
FNRW;FFG-2-FGKA;;
F045B;FNRW-FGKA;;
F046B;FNRW-FGKA;;
FOK;FNRW-FGKA;;
FGKA;FNRW-3-FVL;;
F103D;FGKA-FVL;;
F102B;FGKA-FVL;;
FDW;FGKA-FVL;;
F203A;FGKA-FVL;;
F202D;FGKA-FVL;;
FVL;FGKA-8-FFBS;;
FVLS;FVL-2-FFBS;;
F153A;FVL-FFBS;;
F252B;FVL-FFBS;;
F155A;FVL-FFBS;;
F254A;FVL-FFBS;;
FFBK;FVL-FFBS;;
FFBS;FVL-1-FFGI;;
F161A;FFBS-FFGI;;
F260A;FFBS-FFGI;;
FFES;FFBS-FFGI;;
FFGI;FFBS-2-FFW;;
FFW A;FFGI-5-FFW;;
FFW;FFGI-5-FFGA;;
FFGA;FFW-FMST-U;;
FMST;FFGA-FLS;;
F946A;FMST-FLS;;
FLS;FMST-906-FNIS;;
FNIS;FLS-3-FD;;
FNISA;FLS-3-FD;;
FBUS;FNISA-43-FLG;;
FLG;FBUS-776-774-FEZ;;
F755A;FLG-FEZ;;
F754B;FLG-FEZ;;
F753C;FLG-FEZ;;
FEZ;FLG-738-FDA;;
F836A;FEZ-FDA;;
F837A;FEZ-FDA;;
FDA;FEZ-804-FD__G-3601;;
F284A;FDA-FD__G;;
FD  G;FDA-282-FD-3601;;
