RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FD  G;;FD-002-203-FDA-3550/3688;FD-002-203-FDA-3550/3688
FDA;FD__G-801-FEZ-3688;;
FWX;FDA-FESZ;;
FEZS;FDA-711-FLG;;
FEGB;FESZ-711-FLG;;
FLG;FEZ-701-775-FNIS-3688/3601;;
FBUS;FLG-42-FNISA;;
FNISA;FD-2-FLS;;
FNIS;FD-2-FLS;;
FLS;FNIS-905-FMST;;
F946A;FLS-FMST;;
FMST;FLS-FFGA;;
FFGA;FMST-FFW;;
FFW;FFGA-4-FFGI;;
FFW A;FFW-44-FFGI;;
FFGI;FFW-3-FFBS;;
FFES;FFGI-FFBS;;
F260A;FFGI-FFBS;;
F161A;FFGI-FFBS;;
FFBS;FFGI-3-FVL;;
FFBK;FFBS-FVL;;
F254A;FFBS-FVL;;
F155A;FFBS-FVL;;
F252B;FFBS-FVL;;
F153A;FFBS-FVL;;
FVLS;FFBS-1-FVL;;
FVL;FFBS-7-FGKA;;
F202D;FVL-FGKA;;
F203A;FVL-FGKA;;
FDW;FVL-FGKA;;
F102B;FVL-FGKA;;
F103D;FVL-FGKA;;
FGKA;FVL-1-FNRW;;
FOK;FGKA-FNRW;;
F046B;FGKA-FNRW;;
F045B;FGKS-FNRW;;
FNRW;FGKA-1-FFG;;
F038D;FNRW-FFG_G;;
F039D;FNRW-FFG_G;;
FBB;FNRW-FFG;;
FFG G;FNRW-204-FFG;;
FFG;FNRW-4-FBNA;;
F036F;FFG-FBNA;;
F037D;FFG-FBNA;;
F035E;FFG-FBNA;;
FBNA;FFG-2-FBZ;;
F034F;FBNA-FBZ;;
F032E;FBNA-FBZ;;
F033E;FBNA-FBZ;;
F031E;FBNA-FBZ;;
F030D;FBNA-FBZ;;
F028E;FBNA-FBZ;;
F026D;FBNA-FBZ;;
F029D;FBNA-FBZ;;
F027E;FBNA-FBZ;;
F025C;FBNA-FBZ;;
F024C;FBNA-FBZ;;
F023D;FBNA-FBZ;;
FOM;FBNA-FBZ;;
F022E;FBNA-FBZ;;
F021C;FBNA-FBZ;;
F020A;FBNA-FBZ;;
F019A;FBNA-FBZ;;
FBZ;FBNA-1-FLGS;;
F018C;FBZ-FLGS;;
F017C;FBZ-FLGS;;
F016C;FBZ-FLGS;;
F015D;FBZ-FLGS;;
F014D;FBZ-FLGS;;
F013D;FBZ-FLGS;;
F012D;FBZ-FLGS;;
FKGS;FBZ-2-FLGS;;
F011E;FBZ-FLGS;;
F010G;FBZ-FLGS;;
F009G;FBZ-FLGS;;
FLGS;FBZ-3-FGL;;
F007C;FLGS-FGL;;
F006D;FLGS-FGL;;
F005C;FLGS-FGL;;
FGL;FLGS-3-FGB;;
FGB;;FGL-201-FG;FGL-201-FG
