RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FGB;FGL-201-FG;;
FG;FGB-2-FG__A;;
FG  A;FG-2-2-FLOL-10;;
FGOG;FG__A-1-FLOL;;
F066D;FG__A-FLOL;;
F065D;FG__A-FLOL;;
F064C;FG__A-FLOL;;
F063C;FG__A-FLOL;;
FLOL;FG_A-2-FFRL;;
FFN;FLOL-FFRL;;
F062D;FLOL-FFRL;;
F061D;FLOL-FFRL;;
FFRL;FLOL-2-FNL;;
FNL;FFRL-572-FMBS;;
FNDW;FNL-FMBS;;
F053B;FNL-FMBS;;
F052B;FNL-FMBS;;
F051A;FNL-FMBS;;
FMBS;FNL-FMBG;;
F048A;FMBS-FMBG;;
F047A;FMBS-FMBG;;
FMBG;FNL-5k-FCOE;;
F346B;FMBG-FCOE;;
F345A;FMBG-FCOE;;
FCOE;FMBG-335-FKIH;;
FBRG;FCOE-FKIH;;
F843A;FCOE-FKIH;;
F342A;FCOE-FKIH;;
F841A;FCOE-FKIH;;
FAZ;FCOE-FKIH;;
F340A;FCOE-FKIH;;
F839A;FCOE-FKIH;;
FKIH;FCOE-802-FSTA;;
F737A;FKIH-FSTA;;
F838A;FKIH-FSTA;;
FSTA;FKIH-2-FNSM;;
F036E;FSTA-FNSM;;
F035D;FSTA-FNSM;;
F034E;FSTA-FNSM;;
F033D;FSTA-FNSM;;
FNSM;FSTA-3-FTS;;
F031D;FNSM-FTS;;
F030F;FNSM-FTS;;
FWRA;FNSM-FTS;;
F029C;FNSM-FTS;;
FTS;FNSM-2-FZM;;
F028D;FTS-FSBA;;
F027C;FTS-FSBA;;
F026C;FTS-FSBA;;
FSBA;FTS-2-FWAB;;
F525B;FTS-FZM;;
FZM;FTS-502-FBOK;;
F524B;FZM-FBOK;;
F523B;FZM-FBOK;;
FBOK;FZM-401-FWAB;;
F172C;FBOK-FUT;;
F122B;FBOK-FUT;;
FSL;FBOK-FWAB;;
F121A;FBOK-FUT;;
F171C;FBOK-FUT;;
FUT;FBOK-1-FWAB;;
FWAB;FUT-5-52-FKOA;;
F118B;FWAB-FKOA;;
F117B;FWAB-FKOA;;
FGEF;FWAB-302-FKOA;;
F316B;FWAB-FKOA;;
FABL;FWAB-FKOA;;
F313A;FWAB-FKOA;;
F314A;FWAB-FKOA;;
F311A;FWAB-FKOA;;
FWON;FWAB-1-FKOA;;
FGRF;FGEF-1-FGTH;;
FGTH;FGRF-3-FKOA;;
F673A;FGTH-FKOA;;
F672A;FGTH-FKOA;;
F675A;FGTH-FKOA;;
F681A;FGTH-1-FKOA;;
FREH;FGTH-1-FKOA;;
F676A;FGTH-FKOA;;
F679A;FGTH-FKOA;;
F678B;FGTH-FKOA;;
F680A;FGTH-FKOA;;
F699A;FGTH-FKOA;;
F690A;FGTH-FKOA;;
FKOZ;FGTH-1-FKOA;;
FKOA;FGTH-1-FKW-3900/1733;;
FKW;FKOA-503-FKWNB-D-1733;;
FKWK;FKW-FKWNB;;
FKWNB;FKW-FKR-1733/3926;;
FKR;FKWNB-236-FKRB-1733/3913;;
