RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
SEG N;;SEG-56-SEG_O-3141/3142;SEG-56-SEG_O-3141/3142
SEG O;SEG_N-75-11-STR-3142;;
STR N;SEG_O-110-STR-RG-3142/3010;;
STR;STR_N-402-412S/H1-STRS-GR-3010;;
STRS;STR-501-SKU-3010;;
S049A;STRS-SKU;;
S048B;STRS-SKU;;
S050A;STRS-SKU;;
S047C;STRS-SKU;;
SKU;STRS-52-SKU_M-3010;;
SKU M;SKU-60-SKU_W-3010;;
SKU W;SKU_M-SWN;;
SWAS;SKU_W-1-SWN;;
SOG;SKU_W-1-SWN;;
S052A;SKU_W-SWN;;
S051C;SKU_W-SWN;;
STS;SKU_W-1-SWN;;
SWN;SKU_W-2-SWIN;;
SNI;SWN-1-SWIN;;
SWIN;SWN-1-SNE;;
S055E;SWIN-SNE;;
SWE;SWIN-1-SNE;;
S056C;SWIN-SNE;;
SPZ;SWIN-1-SNE;;
SQPZ;SWIN-SNE;;
SNE;SWIN-2-SPE;;
SNEC;SNE-SPE;;
SBS;SNE-1-SPE;;
SPE;SNE-2-XFAP;;
SXPE;SPE-XFAP;;
